Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 156.809 (49); 166.037 (51); 322.846
10-19; 238.391 (50); 238.087 (50); 476.478
20-29; 221.576 (53); 199.816 (47); 421.392
30-39; 218.147 (53); 191.631 (47); 409.778
40-49; 212.995 (53); 186.326 (47); 399.321
50-59; 169.065 (52); 155.413 (48); 324.478
60-69;  99.601 (52);  93.232 (48); 192.833
70-79;  54.505 (50);  54.565 (50); 109.070
80-89;  20.060 (54);  17.341 (46);  37.401
90+;   6.070 (69);   2.685 (31);   8.755
I alt;1.397.237 (52);1.305.159 (48);2.702.397
