Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.261.777;  59.592;   3.207;     542
Sjælland; 488.882;  15.029;   1.051;     155
Syddanmark; 703.928;  14.794;     696;      72
Midtjylland; 805.191;  21.845;     994;     139
Nordjylland; 414.148;   7.376;     371;      66
I alt i Danmark;3.673.926; 118.636;   6.319;     974
