Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     262 (49);     268 (51);     530
10-19;     599 (53);     523 (47);   1.122
20-29;   1.452 (58);   1.047 (42);   2.499
30-39;   1.304 (56);   1.028 (44);   2.332
40-49;   1.534 (58);   1.129 (42);   2.663
50-59;   1.554 (57);   1.180 (43);   2.734
60-69;     791 (48);     856 (52);   1.647
70-79;     551 (46);     638 (54);   1.189
80-89;     492 (57);     373 (43);     865
90+;     198 (72);      76 (28);     274
I alt;   8.737 (55);   7.118 (45);  15.855
