"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17035;102
AstraZeneca Covid-19 vaccine;Midtjylland;34049;248
AstraZeneca Covid-19 vaccine;Syddanmark;30853;492
AstraZeneca Covid-19 vaccine;Hovedstaden;46516;1166
AstraZeneca Covid-19 vaccine;Sjælland;24012;469
Janssen COVID-19 vaccine;Nordjylland;3689;3689
Janssen COVID-19 vaccine;Midtjylland;9918;9918
Janssen COVID-19 vaccine;Syddanmark;7668;7668
Janssen COVID-19 vaccine;Hovedstaden;22860;22860
Janssen COVID-19 vaccine;Sjælland;2867;2867
Moderna Covid-19 Vaccine;Nordjylland;71582;70847
Moderna Covid-19 Vaccine;Midtjylland;127684;126256
Moderna Covid-19 Vaccine;Syddanmark;136439;163628
Moderna Covid-19 Vaccine;Hovedstaden;153507;151498
Moderna Covid-19 Vaccine;Sjælland;85307;106210
Pfizer BioNTech Covid-19 vacc;Nordjylland;407274;413725
Pfizer BioNTech Covid-19 vacc;Midtjylland;951923;962910
Pfizer BioNTech Covid-19 vacc;Syddanmark;849544;831057
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1277865;1285647
Pfizer BioNTech Covid-19 vacc;Sjælland;582949;570596
