"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;507732;494186;341785;78.7;76.6;53.0;645113
Frederiksberg;86788;84831;62817;83.8;81.9;60.6;103593
Ballerup;38997;37953;28070;79.3;77.1;57.1;49195
Brøndby;25856;25013;17683;72.3;69.9;49.4;35761
Dragør;12274;11924;9001;83.9;81.6;61.6;14621
Gentofte;62224;60623;45210;83.8;81.6;60.9;74253
Gladsaxe;55516;53874;38592;80.2;77.8;55.7;69255
Glostrup;18259;17738;12696;77.8;75.6;54.1;23462
Herlev;22662;21946;15947;78.6;76.1;55.3;28821
Albertslund;20645;19926;13627;74.7;72.1;49.3;27637
Hvidovre;41491;40143;28489;78.0;75.4;53.5;53216
Høje Tåstrup;39674;38426;27086;74.8;72.4;51.0;53062
Lyngby-Taarbæk;48673;47363;35133;84.3;82.0;60.8;57767
Rødovre;32162;31117;22242;77.6;75.0;53.6;41465
Ishøj;16149;15605;10357;69.5;67.2;44.6;23220
Tårnby;34214;33225;24269;80.2;77.8;56.9;42685
Vallensbæk;12558;12182;8616;76.1;73.9;52.2;16493
Furesø;34257;33348;24891;82.8;80.6;60.1;41395
Allerød;21994;21504;16323;85.2;83.3;63.2;25828
Fredensborg;33539;32725;24634;81.4;79.4;59.8;41200
Helsingør;51717;50552;38568;82.3;80.4;61.4;62844
Hillerød;44072;43064;32092;82.7;80.8;60.2;53287
Hørsholm;21128;20676;16041;85.4;83.6;64.9;24734
Rudersdal;48488;47333;35954;84.7;82.7;62.8;57246
Egedal;36949;36059;26510;83.2;81.2;59.7;44406
Frederikssund;38526;37667;28574;84.1;82.2;62.4;45812
Greve;40747;39717;29316;80.2;78.2;57.7;50800
Køge;50424;49082;36599;81.8;79.6;59.4;61629
Halsnæs;25991;25383;19625;82.9;81.0;62.6;31341
Roskilde;75037;73403;55017;83.9;82.0;61.5;89473
Solrød;19491;19041;14004;81.9;80.0;58.8;23810
Gribskov;34164;33436;26065;83.0;81.2;63.3;41157
Odsherred;27634;27153;21362;84.2;82.7;65.1;32821
