"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90640;0.0;0.0
0-2;M;1;0;95571;0.0;0.0
3-5;K;8235;4843;91141;9.0;5.3
3-5;M;9009;5319;96377;9.3;5.5
6-11;K;89844;65810;178964;50.2;36.8
6-11;M;94830;69520;188123;50.4;37.0
12-15;K;107146;102847;132662;80.8;77.5
12-15;M;113015;108485;140186;80.6;77.4
16-19;K;121179;119426;134030;90.4;89.1
16-19;M;125050;122638;140324;89.1;87.4
20-39;K;623394;609995;732951;85.1;83.2
20-39;M;628751;613610;763483;82.4;80.4
40-64;K;884941;879543;946110;93.5;93.0
40-64;M;875599;869925;947530;92.4;91.8
65-79;K;457146;456186;470730;97.1;96.9
65-79;M;421394;420490;433381;97.2;97.0
80+;K;168287;167768;173469;97.0;96.7
80+;M;115713;115446;118437;97.7;97.5
