"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62305;42982;299406;20.8;14.4
0-9;M;66497;45903;316111;21.0;14.5
10-19;K;282153;267871;346078;81.5;77.4
10-19;M;292700;277154;361762;80.9;76.6
20-29;K;321254;314026;381138;84.3;82.4
20-29;M;327344;318565;398099;82.2;80.0
30-39;K;301792;295661;351465;85.9;84.1
30-39;M;299833;293576;363810;82.4;80.7
40-49;K;344855;341898;374929;92.0;91.2
40-49;M;337136;334015;375837;89.7;88.9
50-59;K;378294;376454;401583;94.2;93.7
50-59;M;379382;377511;405010;93.7;93.2
60-69;K;325758;324808;339277;96.0;95.7
60-69;M;316809;315790;329705;96.1;95.8
70-79;K;292318;291778;300189;97.4;97.2
70-79;M;262051;261571;268744;97.5;97.3
80-89;K;126868;126510;130731;97.0;96.8
80-89;M;91763;91548;94105;97.5;97.3
90+;K;24582;24432;25901;94.9;94.3
90+;M;9847;9800;10229;96.3;95.8
