"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60612;41614;297713;20.4;14.0
0-9;M;64695;44446;314309;20.6;14.1
10-19;K;265799;251314;329724;80.6;76.2
10-19;M;277210;261516;346272;80.1;75.5
20-29;K;322571;315389;382455;84.3;82.5
20-29;M;328167;319391;398922;82.3;80.1
30-39;K;300823;294606;350496;85.8;84.1
30-39;M;300584;294219;364561;82.5;80.7
40-49;K;337590;334625;367664;91.8;91.0
40-49;M;329288;326139;367989;89.5;88.6
50-59;K;377803;375939;401092;94.2;93.7
50-59;M;379429;377527;405057;93.7;93.2
60-69;K;328944;327975;342463;96.1;95.8
60-69;M;319208;318167;332104;96.1;95.8
70-79;K;297750;297190;305621;97.4;97.2
70-79;M;269068;268582;275761;97.6;97.4
80-89;K;137679;137319;141542;97.3;97.0
80-89;M;102672;102457;105014;97.8;97.6
90+;K;30608;30449;31927;95.9;95.4
90+;M;13041;12989;13423;97.2;96.8
