"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-25;Hovedstaden;K;773013;753790;550835;772988;753441;548252;25;349;2583
2022-01-25;Hovedstaden;M;727735;707381;506710;727734;707044;504098;1;337;2612
2022-01-25;Midtjylland;K;567244;555636;420502;567212;555325;418389;32;311;2113
2022-01-25;Midtjylland;M;556330;543696;399760;556308;543378;397290;22;318;2470
2022-01-25;Nordjylland;K;249838;244551;187595;249841;244510;187065;-3;41;530
2022-01-25;Nordjylland;M;249742;243812;179634;249743;243752;178936;-1;60;698
2022-01-25;Sjælland;K;352684;345423;265767;352677;345332;265055;7;91;712
2022-01-25;Sjælland;M;342451;334719;248845;342455;334614;248011;-4;105;834
2022-01-25;Syddanmark;K;517400;507020;385838;517382;506766;384221;18;254;1617
2022-01-25;Syddanmark;M;507104;495825;364244;507095;495565;362332;9;260;1912
