"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90641;0.0;0.0
0-2;M;1;0;95571;0.0;0.0
3-5;K;9097;5442;92003;9.9;5.9
3-5;M;9924;5959;97292;10.2;6.1
6-11;K;91290;67121;180410;50.6;37.2
6-11;M;96385;70995;189678;50.8;37.4
12-15;K;119805;115810;145321;82.4;79.7
12-15;M;125860;121559;153031;82.2;79.4
16-19;K;124258;122478;137109;90.6;89.3
16-19;M;127027;124544;142301;89.3;87.5
20-39;K;623046;609687;732603;85.0;83.2
20-39;M;627177;612141;761909;82.3;80.3
40-64;K;891336;885973;952505;93.6;93.0
40-64;M;882613;877005;954544;92.5;91.9
65-79;K;449889;448965;463473;97.1;96.9
65-79;M;412765;411882;424752;97.2;97.0
80+;K;151450;150942;156632;96.7;96.4
80+;M;101610;101348;104334;97.4;97.1
