"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-25;København;K;260470;253835;175785;260449;253698;174520;21;137;1265
2022-01-25;København;M;247262;240351;166000;247254;240237;164771;8;114;1229
2022-01-25;Frederiksberg;K;46189;45229;33760;46186;45214;33582;3;15;178
2022-01-25;Frederiksberg;M;40599;39602;29057;40599;39590;28894;0;12;163
2022-01-25;Ballerup;K;20218;19710;14830;20213;19702;14784;5;8;46
2022-01-25;Ballerup;M;18779;18243;13240;18781;18233;13189;-2;10;51
2022-01-25;Brøndby;K;13418;12987;9303;13416;12985;9274;2;2;29
2022-01-25;Brøndby;M;12438;12026;8380;12438;12022;8344;0;4;36
2022-01-25;Dragør;K;6347;6163;4738;6345;6154;4722;2;9;16
2022-01-25;Dragør;M;5927;5761;4263;5927;5756;4246;0;5;17
2022-01-25;Gentofte;K;32755;31971;24117;32757;31958;24047;-2;13;70
2022-01-25;Gentofte;M;29469;28652;21093;29467;28636;21032;2;16;61
2022-01-25;Gladsaxe;K;28226;27446;19977;28227;27434;19913;-1;12;64
2022-01-25;Gladsaxe;M;27290;26428;18615;27287;26414;18516;3;14;99
2022-01-25;Glostrup;K;9311;9056;6625;9310;9051;6600;1;5;25
2022-01-25;Glostrup;M;8948;8682;6071;8948;8677;6033;0;5;38
2022-01-25;Herlev;K;11786;11450;8490;11784;11442;8457;2;8;33
2022-01-25;Herlev;M;10876;10496;7457;10875;10492;7417;1;4;40
2022-01-25;Albertslund;K;10549;10206;7062;10547;10195;7034;2;11;28
2022-01-25;Albertslund;M;10096;9720;6565;10098;9712;6541;-2;8;24
2022-01-25;Hvidovre;K;21258;20575;14797;21260;20565;14721;-2;10;76
2022-01-25;Hvidovre;M;20233;19568;13692;20234;19551;13611;-1;17;81
2022-01-25;Høje Tåstrup;K;20001;19408;13851;20001;19401;13807;0;7;44
2022-01-25;Høje Tåstrup;M;19673;19018;13235;19666;19002;13186;7;16;49
