"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499580;488363;367229;84.4;82.5;62.1;591703
Midtjylland;1123574;1099332;820262;83.7;81.9;61.1;1342187
Syddanmark;1024504;1002845;750082;83.4;81.6;61.1;1228318
Hovedstaden;1500748;1461171;1057545;80.3;78.2;56.6;1868506
Sjælland;695135;680142;514612;82.4;80.6;61.0;843395
