Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     564 (49);     591 (51);   1.155
10-19;   1.644 (50);   1.673 (50);   3.317
20-29;   2.895 (53);   2.580 (47);   5.475
30-39;   2.140 (54);   1.856 (46);   3.996
40-49;   2.467 (55);   1.980 (45);   4.447
50-59;   2.389 (54);   2.042 (46);   4.431
60-69;   1.226 (49);   1.301 (51);   2.527
70-79;     786 (47);     895 (53);   1.681
80-89;     592 (57);     455 (43);   1.047
90+;     229 (72);      91 (28);     320
I alt;  14.932 (53);  13.464 (47);  28.396
