"Dato";"Kommune";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-04-12;Aabenraa;K;23810;23522;18506;-3;-3;-3;29415;80.9;80.0;62.9
2022-04-12;Aabenraa;M;23325;22982;17470;-2;-1;-1;29349;79.5;78.3;59.5
2022-04-12;Aalborg;K;92992;91540;71415;-10;-10;-3;109742;84.7;83.4;65.1
2022-04-12;Aalborg;M;93045;91142;67493;-3;-1;-2;111438;83.5;81.8;60.6
2022-04-12;Albertslund;K;10537;10248;7340;-1;4;5;13869;76.0;73.9;52.9
2022-04-12;Albertslund;M;10028;9713;6780;-1;3;5;13636;73.5;71.2;49.7
2022-04-12;Allerød;K;11262;11096;8723;-1;0;2;13198;85.3;84.1;66.1
2022-04-12;Allerød;M;10707;10508;8067;-1;-1;0;12678;84.5;82.9;63.6
2022-04-12;Assens;K;17464;17221;13705;-1;-1;-1;20267;86.2;85.0;67.6
2022-04-12;Assens;M;17390;17089;13001;-2;-1;-1;20631;84.3;82.8;63.0
2022-04-12;Ballerup;K;20245;19847;15384;-2;-2;-3;25260;80.1;78.6;60.9
2022-04-12;Ballerup;M;18821;18414;13690;0;0;-1;24162;77.9;76.2;56.7
2022-04-12;Billund;K;11034;10880;8477;0;0;2;13219;83.5;82.3;64.1
2022-04-12;Billund;M;11128;10953;8318;-3;-2;1;13586;81.9;80.6;61.2
2022-04-12;Bornholm;K;17263;17025;14110;-1;-1;0;20046;86.1;84.9;70.4
2022-04-12;Bornholm;M;16704;16432;13142;-5;-5;-5;19596;85.2;83.9;67.1
2022-04-12;Brøndby;K;13449;13101;9661;-1;0;0;18257;73.7;71.8;52.9
2022-04-12;Brøndby;M;12503;12146;8700;-1;-1;-1;17696;70.7;68.6;49.2
2022-04-12;Brønderslev;K;15241;15009;11663;-1;-1;-1;17939;85.0;83.7;65.0
2022-04-12;Brønderslev;M;15291;15005;11138;-1;-1;-1;18395;83.1;81.6;60.5
2022-04-12;Dragør;K;6295;6160;4830;-2;-1;1;7416;84.9;83.1;65.1
2022-04-12;Dragør;M;5899;5770;4341;2;1;4;7115;82.9;81.1;61.0
2022-04-12;Egedal;K;18810;18527;14162;0;0;2;22442;83.8;82.6;63.1
2022-04-12;Egedal;M;18126;17793;13199;-3;-3;-1;22094;82.0;80.5;59.7
2022-04-12;Esbjerg;K;48063;47367;36954;2;3;9;57505;83.6;82.4;64.3
2022-04-12;Esbjerg;M;47498;46749;34922;-3;-2;4;57943;82.0;80.7;60.3
2022-04-12;Faaborg-Midtfyn;K;22203;21897;17311;-4;-2;-3;25884;85.8;84.6;66.9
2022-04-12;Faaborg-Midtfyn;M;22000;21632;16493;-5;-2;-2;26058;84.4;83.0;63.3
2022-04-12;Fanø;K;1543;1529;1276;0;1;0;1765;87.4;86.6;72.3
2022-04-12;Fanø;M;1427;1409;1148;0;1;0;1656;86.2;85.1;69.3
2022-04-12;Favrskov;K;20750;20420;15666;-2;-2;3;24297;85.4;84.0;64.5
2022-04-12;Favrskov;M;20638;20292;15090;0;-1;3;24710;83.5;82.1;61.1
2022-04-12;Faxe;K;15173;14941;11812;0;2;1;18192;83.4;82.1;64.9
2022-04-12;Faxe;M;15194;14920;11332;-1;-1;1;18929;80.3;78.8;59.9
2022-04-12;Fredensborg;K;17496;17221;13381;-1;0;4;21310;82.1;80.8;62.8
2022-04-12;Fredensborg;M;16077;15761;11960;-1;-1;2;20021;80.3;78.7;59.7
2022-04-12;Fredericia;K;21793;21479;16898;-2;-1;3;25835;84.4;83.1;65.4
2022-04-12;Fredericia;M;21294;20923;15895;-3;-3;-1;25925;82.1;80.7;61.3
2022-04-12;Frederiksberg;K;46135;45359;35473;-1;-1;10;54646;84.4;83.0;64.9
2022-04-12;Frederiksberg;M;40591;39648;29468;-4;-4;7;49257;82.4;80.5;59.8
2022-04-12;Frederikshavn;K;25177;24870;20117;-2;-2;-1;29168;86.3;85.3;69.0
2022-04-12;Frederikshavn;M;24874;24451;19059;-4;-4;-2;29639;83.9;82.5;64.3
2022-04-12;Frederikssund;K;19719;19446;15463;-2;-2;4;23223;84.9;83.7;66.6
2022-04-12;Frederikssund;M;18790;18427;14117;-1;-1;3;22665;82.9;81.3;62.3
2022-04-12;Furesø;K;17713;17363;13539;-3;-3;5;21268;83.3;81.6;63.7
2022-04-12;Furesø;M;16590;16242;12153;1;1;5;20300;81.7;80.0;59.9
2022-04-12;Gentofte;K;32721;32142;24851;-1;-1;5;38847;84.2;82.7;64.0
2022-04-12;Gentofte;M;29372;28729;21403;-1;0;1;35460;82.8;81.0;60.4
2022-04-12;Gladsaxe;K;28176;27607;20825;0;1;1;34870;80.8;79.2;59.7
2022-04-12;Gladsaxe;M;27208;26555;19165;-5;-4;-1;34398;79.1;77.2;55.7
2022-04-12;Glostrup;K;9294;9109;6899;1;2;3;11720;79.3;77.7;58.9
2022-04-12;Glostrup;M;8941;8738;6307;1;0;4;11778;75.9;74.2;53.5
2022-04-12;Greve;K;20876;20496;15672;0;-2;1;25791;80.9;79.5;60.8
2022-04-12;Greve;M;19890;19483;14499;-4;-2;1;25178;79.0;77.4;57.6
2022-04-12;Gribskov;K;17334;17084;13778;0;-1;3;20690;83.8;82.6;66.6
2022-04-12;Gribskov;M;16887;16604;13022;-1;-2;1;20615;81.9;80.5;63.2
2022-04-12;Guldborgsund;K;25107;24795;19916;-8;-8;-6;30117;83.4;82.3;66.1
2022-04-12;Guldborgsund;M;24525;24173;18785;-4;-3;-4;30119;81.4;80.3;62.4
2022-04-12;Haderslev;K;22928;22613;17663;-1;0;-2;27502;83.4;82.2;64.2
2022-04-12;Haderslev;M;22619;22238;16682;-4;-4;-1;27799;81.4;80.0;60.0
2022-04-12;Halsnæs;K;13238;13003;10420;-1;-1;0;15762;84.0;82.5;66.1
2022-04-12;Halsnæs;M;12792;12545;9821;0;-1;0;15667;81.6;80.1;62.7
2022-04-12;Hedensted;K;19598;19370;15151;-4;-4;-2;23069;85.0;84.0;65.7
2022-04-12;Hedensted;M;19991;19702;14780;-1;0;-1;24153;82.8;81.6;61.2
2022-04-12;Helsingør;K;26939;26522;21097;-1;-1;-1;32489;82.9;81.6;64.9
2022-04-12;Helsingør;M;24717;24252;18640;0;0;0;30426;81.2;79.7;61.3
2022-04-12;Herlev;K;11743;11481;8759;-3;-1;-2;14718;79.8;78.0;59.5
2022-04-12;Herlev;M;10849;10565;7651;0;0;0;14073;77.1;75.1;54.4
2022-04-12;Herning;K;37445;36901;28431;-3;-2;10;44413;84.3;83.1;64.0
2022-04-12;Herning;M;37185;36557;27143;-4;-2;5;45077;82.5;81.1;60.2
2022-04-12;Hillerød;K;22671;22335;17393;-1;-2;7;27187;83.4;82.2;64.0
2022-04-12;Hillerød;M;21361;20930;15805;-4;-3;2;26175;81.6;80.0;60.4
2022-04-12;Hjørring;K;27458;27110;21492;-3;-3;-3;31805;86.3;85.2;67.6
2022-04-12;Hjørring;M;26929;26479;19977;-1;-1;0;31950;84.3;82.9;62.5
2022-04-12;Holbæk;K;30872;30447;23860;-2;-2;1;36735;84.0;82.9;65.0
2022-04-12;Holbæk;M;29807;29294;22025;-6;-6;-5;36252;82.2;80.8;60.8
2022-04-12;Holstebro;K;24927;24571;19150;-3;-3;2;29283;85.1;83.9;65.4
2022-04-12;Holstebro;M;24452;24016;17855;-5;-4;1;29292;83.5;82.0;61.0
2022-04-12;Horsens;K;38920;38407;29435;-1;3;8;47141;82.6;81.5;62.4
2022-04-12;Horsens;M;38169;37468;27606;-6;-6;-3;47897;79.7;78.2;57.6
2022-04-12;Hvidovre;K;21250;20730;15427;-2;-1;3;26932;78.9;77.0;57.3
2022-04-12;Hvidovre;M;20181;19651;14064;1;2;2;26253;76.9;74.9;53.6
2022-04-12;Høje Tåstrup;K;20031;19590;14368;0;4;8;26491;75.6;73.9;54.2
2022-04-12;Høje Tåstrup;M;19818;19305;13717;0;2;4;26988;73.4;71.5;50.8
2022-04-12;Hørsholm;K;11254;11100;8945;0;0;2;13078;86.1;84.9;68.4
2022-04-12;Hørsholm;M;9793;9612;7497;-1;-2;2;11624;84.2;82.7;64.5
2022-04-12;Ikast-Brande;K;17086;16845;12864;-2;-1;8;20551;83.1;82.0;62.6
2022-04-12;Ikast-Brande;M;17282;17016;12566;-2;-3;-1;21516;80.3;79.1;58.4
2022-04-12;Ishøj;K;8233;8004;5523;-2;-3;-1;11638;70.7;68.8;47.5
2022-04-12;Ishøj;M;7953;7700;5250;0;-1;1;11615;68.5;66.3;45.2
2022-04-12;Jammerbugt;K;16114;15842;12561;-1;-1;-2;18913;85.2;83.8;66.4
2022-04-12;Jammerbugt;M;16143;15841;12093;-1;-1;0;19248;83.9;82.3;62.8
2022-04-12;Kalundborg;K;19951;19673;15739;0;0;4;24069;82.9;81.7;65.4
2022-04-12;Kalundborg;M;19848;19528;14943;0;0;3;24369;81.4;80.1;61.3
2022-04-12;Kerteminde;K;10472;10306;8286;-2;-2;-1;12151;86.2;84.8;68.2
2022-04-12;Kerteminde;M;10017;9831;7575;0;-1;1;11845;84.6;83.0;64.0
2022-04-12;Kolding;K;39010;38444;29188;-4;-4;-3;46963;83.1;81.9;62.2
2022-04-12;Kolding;M;37976;37310;27341;-5;-6;-1;46884;81.0;79.6;58.3
2022-04-12;København;K;260712;255336;188511;-10;-5;107;328416;79.4;77.7;57.4
2022-04-12;København;M;247191;240841;169271;-20;-15;101;319035;77.5;75.5;53.1
2022-04-12;Køge;K;25684;25233;19686;-2;-2;4;31081;82.6;81.2;63.3
2022-04-12;Køge;M;24739;24226;18124;-3;-2;0;30687;80.6;78.9;59.1
2022-04-12;Langeland;K;5263;5211;4371;-1;-1;-1;6022;87.4;86.5;72.6
2022-04-12;Langeland;M;5280;5210;4269;0;0;0;6268;84.2;83.1;68.1
2022-04-12;Lejre;K;12053;11862;9270;0;-1;-1;14442;83.5;82.1;64.2
2022-04-12;Lejre;M;11684;11514;8839;0;0;1;14225;82.1;80.9;62.1
2022-04-12;Lemvig;K;8147;8063;6520;-1;0;4;9471;86.0;85.1;68.8
2022-04-12;Lemvig;M;8336;8222;6493;0;-1;0;9858;84.6;83.4;65.9
2022-04-12;Lolland;K;16402;16194;13095;-1;-1;1;19786;82.9;81.8;66.2
2022-04-12;Lolland;M;16333;16081;12508;-4;-4;-1;20209;80.8;79.6;61.9
2022-04-12;Lyngby-Taarbæk;K;24796;24336;18980;-3;-3;4;29363;84.4;82.9;64.6
2022-04-12;Lyngby-Taarbæk;M;23695;23113;17158;-3;-1;0;28627;82.8;80.7;59.9
2022-04-12;Læsø;K;771;762;659;0;0;0;896;86.0;85.0;73.5
