"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;7;2;0;90681;0.0;0.0;0.0
00-02;M;2;0;0;95645;0.0;0.0;0.0
03-04;K;36;16;0;60644;0.1;0.0;0.0
03-04;M;28;14;1;64019;0.0;0.0;0.0
05-11;K;101684;83387;5;215839;47.1;38.6;0.0
05-11;M;107606;88218;3;227281;47.3;38.8;0.0
12-15;K;120245;117497;602;147018;81.8;79.9;0.4
12-15;M;126287;123244;637;154730;81.6;79.7;0.4
16-19;K;124554;123151;64874;137598;90.5;89.5;47.1
16-19;M;127309;125212;60490;142598;89.3;87.8;42.4
20-39;K;624614;612988;424578;736712;84.8;83.2;57.6
20-39;M;628345;612415;394427;764965;82.1;80.1;51.6
40-64;K;891235;886734;808434;953233;93.5;93.0;84.8
40-64;M;882201;877187;789855;955167;92.4;91.8;82.7
65-79;K;448109;447393;437365;461745;97.0;96.9;94.7
65-79;M;410362;409715;400290;422343;97.2;97.0;94.8
80+;K;147987;147645;143788;152992;96.7;96.5;94.0
80+;M;98782;98636;96541;101408;97.4;97.3;95.2
