"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;Aalborg;1;0;0;221180;1;0;0;0.00;0.00;0.00
2020-12-11;Aalborg;1;0;0;221180;2;0;0;0.00;0.00;0.00
2020-12-16;Brøndby;1;0;0;35953;1;0;0;0.00;0.00;0.00
2020-12-17;Frederikssund;1;0;0;45888;1;0;0;0.00;0.00;0.00
2020-12-18;Gentofte;1;0;0;74307;1;0;0;0.00;0.00;0.00
2020-12-18;Holbæk;1;0;0;72987;1;0;0;0.00;0.00;0.00
2020-12-19;Frederiksberg;1;0;0;103903;1;0;0;0.00;0.00;0.00
2020-12-20;Rudersdal;1;0;0;57239;1;0;0;0.00;0.00;0.00
2020-12-21;Gentofte;1;0;0;74307;2;0;0;0.00;0.00;0.00
2020-12-21;København;1;0;0;647451;1;0;0;0.00;0.00;0.00
2020-12-21;Århus;1;0;0;355644;1;0;0;0.00;0.00;0.00
2020-12-22;Kolding;1;0;0;93847;1;0;0;0.00;0.00;0.00
2020-12-22;København;1;0;0;647451;2;0;0;0.00;0.00;0.00
2020-12-22;Odder;1;0;0;23409;1;0;0;0.00;0.00;0.00
2020-12-22;Odense;1;0;0;206227;1;0;0;0.00;0.00;0.00
2020-12-22;Århus;1;0;0;355644;2;0;0;0.00;0.00;0.00
2020-12-23;København;2;0;0;647451;4;0;0;0.00;0.00;0.00
2020-12-23;Århus;2;0;0;355644;4;0;0;0.00;0.00;0.00
2020-12-24;Gladsaxe;1;0;0;69268;1;0;0;0.00;0.00;0.00
2020-12-24;København;2;0;0;647451;6;0;0;0.00;0.00;0.00
2020-12-24;Næstved;1;0;0;84038;1;0;0;0.00;0.00;0.00
2020-12-26;Allerød;1;0;0;25876;1;0;0;0.00;0.00;0.00
2020-12-26;Bornholm;1;0;0;39642;1;0;0;0.00;0.00;0.00
2020-12-26;København;1;0;0;647451;7;0;0;0.00;0.00;0.00
2020-12-26;Ringsted;1;0;0;35392;1;0;0;0.00;0.00;0.00
2020-12-26;Roskilde;1;0;0;89673;1;0;0;0.00;0.00;0.00
2020-12-27;Aalborg;717;0;0;221180;719;0;0;0.33;0.00;0.00
2020-12-27;Albertslund;19;0;0;27505;19;0;0;0.07;0.00;0.00
2020-12-27;Allerød;18;0;0;25876;19;0;0;0.07;0.00;0.00
2020-12-27;Assens;5;0;0;40898;5;0;0;0.01;0.00;0.00
2020-12-27;Ballerup;26;0;0;49422;26;0;0;0.05;0.00;0.00
2020-12-27;Bornholm;61;0;0;39642;62;0;0;0.16;0.00;0.00
2020-12-27;Brøndby;16;0;0;35953;17;0;0;0.05;0.00;0.00
2020-12-27;Brønderslev;29;0;0;36334;29;0;0;0.08;0.00;0.00
2020-12-27;Dragør;8;0;0;14531;8;0;0;0.06;0.00;0.00
2020-12-27;Egedal;26;0;0;44536;26;0;0;0.06;0.00;0.00
2020-12-27;Faaborg-Midtfyn;12;0;0;51942;12;0;0;0.02;0.00;0.00
2020-12-27;Favrskov;30;0;0;49007;30;0;0;0.06;0.00;0.00
2020-12-27;Faxe;16;0;0;37121;16;0;0;0.04;0.00;0.00
2020-12-27;Fredensborg;19;0;0;41331;19;0;0;0.05;0.00;0.00
2020-12-27;Frederiksberg;88;0;0;103903;89;0;0;0.09;0.00;0.00
2020-12-27;Frederikshavn;14;0;0;58807;14;0;0;0.02;0.00;0.00
2020-12-27;Frederikssund;15;0;0;45888;16;0;0;0.03;0.00;0.00
2020-12-27;Furesø;27;0;0;41568;27;0;0;0.06;0.00;0.00
2020-12-27;Gentofte;42;0;0;74307;44;0;0;0.06;0.00;0.00
2020-12-27;Gladsaxe;51;0;0;69268;52;0;0;0.08;0.00;0.00
2020-12-27;Glostrup;15;0;0;23498;15;0;0;0.06;0.00;0.00
2020-12-27;Greve;203;0;0;50969;203;0;0;0.40;0.00;0.00
2020-12-27;Gribskov;27;0;0;41305;27;0;0;0.07;0.00;0.00
2020-12-27;Guldborgsund;57;0;0;60236;57;0;0;0.09;0.00;0.00
2020-12-27;Halsnæs;15;0;0;31429;15;0;0;0.05;0.00;0.00
2020-12-27;Hedensted;10;0;0;47222;10;0;0;0.02;0.00;0.00
2020-12-27;Helsingør;34;0;0;62915;34;0;0;0.05;0.00;0.00
2020-12-27;Herlev;49;0;0;28791;49;0;0;0.17;0.00;0.00
2020-12-27;Herning;71;0;0;89490;71;0;0;0.08;0.00;0.00
2020-12-27;Hillerød;58;0;0;53362;58;0;0;0.11;0.00;0.00
2020-12-27;Hjørring;78;0;0;63755;78;0;0;0.12;0.00;0.00
2020-12-27;Holbæk;49;0;0;72987;50;0;0;0.07;0.00;0.00
2020-12-27;Holstebro;16;0;0;58575;16;0;0;0.03;0.00;0.00
2020-12-27;Horsens;52;0;0;95038;52;0;0;0.05;0.00;0.00
2020-12-27;Hvidovre;50;0;0;53185;50;0;0;0.09;0.00;0.00
2020-12-27;Høje Tåstrup;35;0;0;53479;35;0;0;0.07;0.00;0.00
2020-12-27;Hørsholm;14;0;0;24702;14;0;0;0.06;0.00;0.00
2020-12-27;Ikast-Brande;10;0;0;42067;10;0;0;0.02;0.00;0.00
2020-12-27;Ishøj;87;0;0;23253;87;0;0;0.37;0.00;0.00
2020-12-27;Jammerbugt;18;0;0;38161;18;0;0;0.05;0.00;0.00
2020-12-27;Kalundborg;23;0;0;48438;23;0;0;0.05;0.00;0.00
2020-12-27;Kerteminde;3;0;0;23996;3;0;0;0.01;0.00;0.00
2020-12-27;Kolding;1;0;0;93847;2;0;0;0.00;0.00;0.00
2020-12-27;København;620;0;0;647451;627;0;0;0.10;0.00;0.00
2020-12-27;Køge;61;0;0;61768;61;0;0;0.10;0.00;0.00
2020-12-27;Lejre;10;0;0;28667;10;0;0;0.03;0.00;0.00
2020-12-27;Lemvig;1;0;0;19329;1;0;0;0.01;0.00;0.00
2020-12-27;Lolland;8;0;0;39995;8;0;0;0.02;0.00;0.00
2020-12-27;Lyngby-Taarbæk;48;0;0;57990;48;0;0;0.08;0.00;0.00
2020-12-27;Mariagerfjord;23;0;0;41652;23;0;0;0.06;0.00;0.00
2020-12-27;Middelfart;6;0;0;39707;6;0;0;0.02;0.00;0.00
2020-12-27;Morsø;1;0;0;20054;1;0;0;0.00;0.00;0.00
2020-12-27;Norddjurs;9;0;0;36984;9;0;0;0.02;0.00;0.00
2020-12-27;Nordfyn;4;0;0;29775;4;0;0;0.01;0.00;0.00
2020-12-27;Nyborg;6;0;0;32044;6;0;0;0.02;0.00;0.00
2020-12-27;Næstved;33;0;0;84038;34;0;0;0.04;0.00;0.00
2020-12-27;Odder;20;0;0;23409;21;0;0;0.09;0.00;0.00
2020-12-27;Odense;355;0;0;206227;356;0;0;0.17;0.00;0.00
2020-12-27;Odsherred;4;0;0;32856;4;0;0;0.01;0.00;0.00
2020-12-27;Randers;68;0;0;99177;68;0;0;0.07;0.00;0.00
2020-12-27;Rebild;38;0;0;30727;38;0;0;0.12;0.00;0.00
