"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;1500100;1468276;1095904;1873144;80.1;78.4;58.5
Midtjylland;1122632;1104204;845559;1344953;83.5;82.1;62.9
Nordjylland;498732;490311;377847;591839;84.3;82.8;63.8
Sjælland;694824;683725;529757;844634;82.3;80.9;62.7
Syddanmark;1023105;1006938;772823;1230048;83.2;81.9;62.8
