"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-U10;12-15;2;0;0;272940;11;1;0;0.00;0.00;0.00
2021-U10;16-19;181;31;0;274660;1243;306;0;0.45;0.11;0.00
2021-U10;20-39;9127;1658;2;1503946;95216;31926;3;6.33;2.12;0.00
2021-U10;40-64;17835;4548;5;1893239;213259;80428;9;11.3;4.25;0.00
2021-U10;65-79;11107;6151;4;905243;103195;37578;9;11.4;4.15;0.00
2021-U10;80+;6638;39138;6;294333;140888;87991;9;47.9;29.9;0.00
2021-U11;12-15;2;1;0;272940;13;2;0;0.00;0.00;0.00
2021-U11;16-19;155;102;0;274660;1398;408;0;0.51;0.15;0.00
2021-U11;20-39;4408;3051;0;1503946;99624;34977;3;6.62;2.33;0.00
2021-U11;40-64;10202;9564;1;1893239;223461;89992;10;11.8;4.75;0.00
2021-U11;65-79;10780;14670;0;905243;113975;52248;9;12.6;5.77;0.00
2021-U11;80+;23916;26989;0;294333;164804;114980;9;56.0;39.1;0.00
2021-U12;05-11;0;1;0;429317;1;1;0;0.00;0.00;0.00
2021-U12;12-15;0;1;0;272940;13;3;0;0.00;0.00;0.00
2021-U12;16-19;93;153;0;274660;1491;561;0;0.54;0.20;0.00
2021-U12;20-39;3034;3685;0;1503946;102658;38662;3;6.83;2.57;0.00
2021-U12;40-64;7179;12355;3;1893239;230640;102347;13;12.2;5.41;0.00
2021-U12;65-79;8478;23210;3;905243;122453;75458;12;13.5;8.34;0.00
2021-U12;80+;34783;9647;0;294333;199587;124627;9;67.8;42.3;0.00
2021-U13;03-04;0;1;0;124615;1;1;0;0.00;0.00;0.00
2021-U13;05-11;1;0;0;429317;2;1;0;0.00;0.00;0.00
2021-U13;12-15;1;1;0;272940;14;4;0;0.01;0.00;0.00
2021-U13;16-19;123;132;0;274660;1614;693;0;0.59;0.25;0.00
2021-U13;20-39;2994;2811;1;1503946;105652;41473;4;7.02;2.76;0.00
2021-U13;40-64;9664;8801;1;1893239;240304;111148;14;12.7;5.87;0.00
2021-U13;65-79;34079;17356;4;905243;156532;92814;16;17.3;10.3;0.00
2021-U13;80+;37338;9297;1;294333;236925;133924;10;80.5;45.5;0.00
2021-U14;12-15;0;5;0;272940;14;9;0;0.01;0.00;0.00
2021-U14;16-19;127;163;0;274660;1741;856;0;0.63;0.31;0.00
2021-U14;20-39;2520;4814;1;1503946;108172;46287;5;7.19;3.08;0.00
2021-U14;40-64;6088;10942;4;1893239;246392;122090;18;13.0;6.45;0.00
2021-U14;65-79;73411;11600;5;905243;229943;104414;21;25.4;11.5;0.00
2021-U14;80+;23700;13334;1;294333;260625;147258;11;88.5;50.0;0.00
2021-U15;12-15;0;2;0;272940;14;11;0;0.01;0.00;0.00
2021-U15;16-19;107;116;0;274660;1848;972;0;0.67;0.35;0.00
2021-U15;20-39;2338;3584;0;1503946;110510;49871;5;7.35;3.32;0.00
2021-U15;40-64;5475;8861;8;1893239;251867;130951;26;13.3;6.92;0.00
2021-U15;65-79;168756;10054;0;905243;398699;114468;21;44.0;12.6;0.00
2021-U15;80+;11931;30242;2;294333;272556;177500;13;92.6;60.3;0.00
2021-U16;05-11;0;1;0;429317;2;2;0;0.00;0.00;0.00
2021-U16;12-15;1;0;0;272940;15;11;0;0.01;0.00;0.00
2021-U16;16-19;129;115;0;274660;1977;1087;0;0.72;0.40;0.00
2021-U16;20-39;2193;2677;4;1503946;112703;52548;9;7.49;3.49;0.00
2021-U16;40-64;5238;8928;5;1893239;257105;139879;31;13.6;7.39;0.00
2021-U16;65-79;138468;21672;2;905243;537167;136140;23;59.3;15.0;0.00
2021-U16;80+;3126;38931;1;294333;275682;216431;14;93.7;73.5;0.00
2021-U17;05-11;1;0;0;429317;3;2;0;0.00;0.00;0.00
2021-U17;12-15;1;0;0;272940;16;11;0;0.01;0.00;0.00
2021-U17;16-19;117;125;0;274660;2094;1212;0;0.76;0.44;0.00
2021-U17;20-39;2137;4445;9;1503946;114840;56993;18;7.64;3.79;0.00
2021-U17;40-64;10546;10555;20;1893239;267651;150434;51;14.1;7.95;0.00
2021-U17;65-79;129483;47663;1;905243;666650;183803;24;73.6;20.3;0.00
2021-U17;80+;2610;27338;1;294333;278292;243769;15;94.6;82.8;0.01
2021-U18;12-15;1;0;0;272940;17;11;0;0.01;0.00;0.00
2021-U18;16-19;129;166;0;274660;2223;1378;0;0.81;0.50;0.00
2021-U18;20-39;2745;8060;7;1503946;117585;65053;25;7.82;4.33;0.00
2021-U18;40-64;44126;18076;12;1893239;311777;168510;63;16.5;8.90;0.00
2021-U18;65-79;89539;150670;3;905243;756189;334473;27;83.5;36.9;0.00
2021-U18;80+;1480;19033;1;294333;279772;262802;16;95.1;89.3;0.01
2021-U19;12-15;27;0;0;272940;44;11;0;0.02;0.00;0.00
2021-U19;16-19;141;171;0;274660;2364;1549;0;0.86;0.56;0.00
2021-U19;20-39;2666;9956;4;1503946;120251;75009;29;8.00;4.99;0.00
2021-U19;40-64;94583;21528;10;1893239;406360;190038;73;21.5;10.0;0.00
2021-U19;65-79;59420;131929;5;905243;815609;466402;32;90.1;51.5;0.00
2021-U19;80+;1129;8799;0;294333;280901;271601;16;95.4;92.3;0.01
2021-U20;05-11;1;0;0;429317;4;2;0;0.00;0.00;0.00
2021-U20;12-15;24;1;0;272940;68;12;0;0.02;0.00;0.00
2021-U20;16-19;317;208;0;274660;2681;1757;0;0.98;0.64;0.00
2021-U20;20-39;3382;15760;2;1503946;123633;90769;31;8.22;6.04;0.00
2021-U20;40-64;177077;32441;7;1893239;583437;222479;80;30.8;11.8;0.00
2021-U20;65-79;26863;90462;2;905243;842472;556864;34;93.1;61.5;0.00
2021-U20;80+;893;3727;2;294333;281794;275328;18;95.7;93.5;0.01
2021-U21;05-11;1;0;0;429317;5;2;0;0.00;0.00;0.00
2021-U21;12-15;14;1;0;272940;82;13;0;0.03;0.00;0.00
2021-U21;16-19;4205;144;0;274660;6886;1901;0;2.51;0.69;0.00
2021-U21;20-39;3527;11176;4;1503946;127160;101945;35;8.46;6.78;0.00
2021-U21;40-64;238786;21685;7;1893239;822223;244164;87;43.4;12.9;0.00
2021-U21;65-79;12780;33926;5;905243;855252;590790;39;94.5;65.3;0.00
2021-U21;80+;726;1188;2;294333;282520;276516;20;96.0;93.9;0.01
2021-U22;00-02;1;0;0;186325;1;0;0;0.00;0.00;0.00
2021-U22;05-11;2;0;0;429317;7;2;0;0.00;0.00;0.00
2021-U22;12-15;15;20;0;272940;97;33;0;0.04;0.01;0.00
2021-U22;16-19;22357;141;0;274660;29243;2042;0;10.6;0.74;0.00
2021-U22;20-39;16982;6849;4;1503946;144142;108794;39;9.58;7.23;0.00
2021-U22;40-64;215422;18560;6;1893239;1037645;262724;93;54.8;13.9;0.00
2021-U22;65-79;5681;80092;4;905243;860933;670882;43;95.1;74.1;0.00
2021-U22;80+;493;1627;1;294333;283013;278143;21;96.2;94.5;0.01
2021-U23;05-11;2;0;0;429317;9;2;0;0.00;0.00;0.00
2021-U23;12-15;9;24;0;272940;106;57;0;0.04;0.02;0.00
2021-U23;16-19;49136;141;1;274660;78379;2183;1;28.5;0.79;0.00
2021-U23;20-39;56710;3641;1;1503946;200852;112435;40;13.4;7.48;0.00
2021-U23;40-64;224720;34918;10;1893239;1262365;297642;103;66.7;15.7;0.01
2021-U23;65-79;3032;73619;3;905243;863965;744501;46;95.4;82.2;0.01
2021-U23;80+;396;1233;0;294333;283409;279376;21;96.3;94.9;0.01
2021-U24;05-11;2;0;0;429317;11;2;0;0.00;0.00;0.00
2021-U24;12-15;13;11;0;272940;119;68;0;0.04;0.02;0.00
2021-U24;16-19;45771;128;1;274660;124150;2311;2;45.2;0.84;0.00
2021-U24;20-39;81590;2957;0;1503946;282442;115392;40;18.8;7.67;0.00
2021-U24;40-64;173301;73373;9;1893239;1435666;371015;112;75.8;19.6;0.01
2021-U24;65-79;2167;62244;2;905243;866132;806745;48;95.7;89.1;0.01
2021-U24;80+;294;773;0;294333;283703;280149;21;96.4;95.2;0.01
2021-U25;12-15;15;11;0;272940;134;79;0;0.05;0.03;0.00
2021-U25;16-19;21945;242;0;274660;146095;2553;2;53.2;0.93;0.00
2021-U25;20-39;91370;3386;2;1503946;373812;118778;42;24.9;7.90;0.00
2021-U25;40-64;107343;160737;9;1893239;1543009;531752;121;81.5;28.1;0.01
2021-U25;65-79;1378;30958;12;905243;867510;837703;60;95.8;92.5;0.01
2021-U25;80+;208;798;2;294333;283911;280947;23;96.5;95.5;0.01
2021-U26;05-11;0;1;0;429317;11;3;0;0.00;0.00;0.00
2021-U26;12-15;46;11;0;272940;180;90;0;0.07;0.03;0.00
2021-U26;16-19;21316;3422;0;274660;167411;5975;2;61.0;2.18;0.00
2021-U26;20-39;87062;3041;1;1503946;460874;121819;43;30.6;8.10;0.00
2021-U26;40-64;60196;239380;10;1893239;1603205;771132;131;84.7;40.7;0.01
2021-U26;65-79;987;13575;2;905243;868497;851278;62;95.9;94.0;0.01
2021-U26;80+;166;707;0;294333;284077;281654;23;96.5;95.7;0.01
2021-U27;00-02;1;0;0;186325;2;0;0;0.00;0.00;0.00
2021-U27;05-11;1;1;0;429317;12;4;0;0.00;0.00;0.00
2021-U27;12-15;44;7;0;272940;224;97;0;0.08;0.04;0.00
2021-U27;16-19;16666;15374;1;274660;184077;21349;3;67.0;7.77;0.00
2021-U27;20-39;213640;5442;3;1503946;674514;127261;46;44.8;8.46;0.00
2021-U27;40-64;44765;210245;14;1893239;1647970;981377;145;87.0;51.8;0.01
2021-U27;65-79;1300;6882;2;905243;869797;858160;64;96.1;94.8;0.01
2021-U27;80+;178;509;3;294333;284255;282163;26;96.6;95.9;0.01
2021-U28;03-04;3;0;0;124615;4;1;0;0.00;0.00;0.00
2021-U28;12-15;9435;9;0;272940;9659;106;0;3.54;0.04;0.00
2021-U28;16-19;9701;41514;0;274660;193778;62863;3;70.6;22.9;0.00
2021-U28;20-39;188017;38184;5;1503946;862531;165445;51;57.4;11.0;0.00
2021-U28;40-64;18941;222458;14;1893239;1666911;1203835;159;88.0;63.6;0.01
2021-U28;65-79;792;3501;1;905243;870589;861661;65;96.2;95.2;0.01
2021-U28;80+;147;410;2;294333;284402;282573;28;96.6;96.0;0.01
2021-U29;00-02;1;0;0;186325;3;0;0;0.00;0.00;0.00
2021-U29;05-11;0;1;0;429317;12;5;0;0.00;0.00;0.00
2021-U29;12-15;34461;31;0;272940;44120;137;0;16.2;0.05;0.00
2021-U29;16-19;11332;48022;0;274660;205110;110885;3;74.7;40.4;0.00
2021-U29;20-39;114514;80786;3;1503946;977045;246231;54;65.0;16.4;0.00
2021-U29;40-64;14704;184871;16;1893239;1681615;1388706;175;88.8;73.4;0.01
2021-U29;65-79;759;2565;1;905243;871348;864226;66;96.3;95.5;0.01
2021-U29;80+;125;350;0;294333;284527;282923;28;96.7;96.1;0.01
2021-U30;00-02;1;0;0;186325;4;0;0;0.00;0.00;0.00
2021-U30;03-04;1;0;0;124615;5;1;0;0.00;0.00;0.00
2021-U30;12-15;32058;45;0;272940;76178;182;0;27.9;0.07;0.00
2021-U30;16-19;7095;30629;1;274660;212205;141514;4;77.3;51.5;0.00
2021-U30;20-39;66224;95357;13;1503946;1043269;341588;67;69.4;22.7;0.00
2021-U30;40-64;9610;115452;16;1893239;1691225;1504158;191;89.3;79.4;0.01
2021-U30;65-79;578;1660;4;905243;871926;865886;70;96.3;95.7;0.01
2021-U30;80+;102;229;2;294333;284629;283152;30;96.7;96.2;0.01
2021-U31;12-15;28962;2654;0;272940;105140;2836;0;38.5;1.04;0.00
2021-U31;16-19;5727;26314;0;274660;217932;167828;4;79.3;61.1;0.00
2021-U31;20-39;32882;163911;8;1503946;1076151;505499;75;71.6;33.6;0.00
2021-U31;40-64;6727;76333;22;1893239;1697952;1580491;213;89.7;83.5;0.01
2021-U31;65-79;430;1323;2;905243;872356;867209;72;96.4;95.8;0.01
2021-U31;80+;84;230;0;294333;284713;283382;30;96.7;96.3;0.01
2021-U32;12-15;15985;22487;0;272940;121125;25323;0;44.4;9.28;0.00
2021-U32;16-19;3653;18888;0;274660;221585;186716;4;80.7;68.0;0.00
2021-U32;20-39;21571;238203;18;1503946;1097722;743702;93;73.0;49.5;0.01
2021-U32;40-64;5873;55265;22;1893239;1703825;1635756;235;90.0;86.4;0.01
2021-U32;65-79;412;1754;8;905243;872768;868963;80;96.4;96.0;0.01
2021-U32;80+;70;262;1;294333;284783;283644;31;96.8;96.4;0.01
2021-U33;00-02;1;1;0;186325;5;1;0;0.00;0.00;0.00
2021-U33;05-11;1;0;0;429317;13;5;0;0.00;0.00;0.00
2021-U33;12-15;10835;30112;0;272940;131960;55435;0;48.3;20.3;0.00
2021-U33;16-19;3383;13772;0;274660;224968;200488;4;81.9;73.0;0.00
2021-U33;20-39;18754;140398;15;1503946;1116476;884100;108;74.2;58.8;0.01
2021-U33;40-64;5272;24701;24;1893239;1709097;1660457;259;90.3;87.7;0.01
2021-U33;65-79;452;1048;14;905243;873220;870011;94;96.5;96.1;0.01
2021-U33;80+;90;220;1;294333;284873;283864;32;96.8;96.4;0.01
2021-U34;00-02;1;0;0;186325;6;1;0;0.00;0.00;0.00
2021-U34;05-11;1;0;0;429317;14;5;0;0.00;0.00;0.00
2021-U34;12-15;9140;30163;0;272940;141100;85598;0;51.7;31.4;0.00
2021-U34;16-19;2412;9274;1;274660;227380;209762;5;82.8;76.4;0.00
2021-U34;20-39;14163;83739;16;1503946;1130639;967839;124;75.2;64.4;0.01
2021-U34;40-64;4419;14313;31;1893239;1713516;1674770;290;90.5;88.5;0.02
2021-U34;65-79;502;730;8;905243;873722;870741;102;96.5;96.2;0.01
2021-U34;80+;116;138;1;294333;284989;284002;33;96.8;96.5;0.01
2021-U35;12-15;5581;24527;0;272940;146681;110125;0;53.7;40.3;0.00
2021-U35;16-19;1795;5944;1;274660;229175;215706;6;83.4;78.5;0.00
2021-U35;20-39;9427;44114;51;1503946;1140066;1011953;175;75.8;67.3;0.01
2021-U35;40-64;3074;9207;36;1893239;1716590;1683977;326;90.7;88.9;0.02
2021-U35;65-79;344;581;12;905243;874066;871322;114;96.6;96.3;0.01
2021-U35;80+;70;103;3;294333;285059;284105;36;96.8;96.5;0.01
2021-U36;05-11;2;0;0;429317;16;5;0;0.00;0.00;0.00
2021-U36;12-15;3929;14157;0;272940;150610;124282;0;55.2;45.5;0.00
2021-U36;16-19;1112;3824;3;274660;230287;219530;9;83.8;79.9;0.00
2021-U36;20-39;6292;24128;225;1503946;1146358;1036081;400;76.2;68.9;0.03
2021-U36;40-64;2342;6100;1884;1893239;1718932;1690077;2210;90.8;89.3;0.12
2021-U36;65-79;284;444;2642;905243;874350;871766;2756;96.6;96.3;0.30
2021-U36;80+;58;102;1039;294333;285117;284207;1075;96.9;96.6;0.37
2021-U37;05-11;1;0;0;429317;17;5;0;0.00;0.00;0.00
2021-U37;12-15;2848;9846;0;272940;153458;134128;0;56.2;49.1;0.00
2021-U37;16-19;786;2681;11;274660;231073;222211;20;84.1;80.9;0.01
2021-U37;20-39;5069;16631;690;1503946;1151427;1052712;1090;76.6;70.0;0.07
2021-U37;40-64;1793;4598;5349;1893239;1720725;1694675;7559;90.9;89.5;0.40
2021-U37;65-79;242;464;10441;905243;874592;872230;13197;96.6;96.4;1.46
2021-U37;80+;82;159;9680;294333;285199;284366;10755;96.9;96.6;3.65
2021-U38;00-02;0;1;0;186325;6;2;0;0.00;0.00;0.00
2021-U38;05-11;1;0;0;429317;18;5;0;0.00;0.00;0.00
2021-U38;12-15;2283;7208;1;272940;155741;141336;1;57.1;51.8;0.00
2021-U38;16-19;603;2002;22;274660;231676;224213;42;84.4;81.6;0.02
2021-U38;20-39;4117;13482;739;1503946;1155544;1066194;1829;76.8;70.9;0.12
2021-U38;40-64;1450;3857;4204;1893239;1722175;1698532;11763;91.0;89.7;0.62
2021-U38;65-79;216;436;8229;905243;874808;872666;21426;96.6;96.4;2.37
2021-U38;80+;81;118;10968;294333;285280;284484;21723;96.9;96.7;7.38
2021-U39;05-11;0;1;0;429317;18;6;0;0.00;0.00;0.00
2021-U39;12-15;1847;4664;0;272940;157588;146000;1;57.7;53.5;0.00
2021-U39;16-19;471;1438;16;274660;232147;225651;58;84.5;82.2;0.02
2021-U39;20-39;3182;10470;595;1503946;1158726;1076664;2424;77.0;71.6;0.16
2021-U39;40-64;1145;3062;3108;1893239;1723320;1701594;14871;91.0;89.9;0.79
2021-U39;65-79;164;279;4317;905243;874972;872945;25743;96.7;96.4;2.84
2021-U39;80+;50;84;6143;294333;285330;284568;27866;96.9;96.7;9.47
2021-U40;12-15;1901;3237;0;272940;159489;149237;1;58.4;54.7;0.00
