sogn_code;sogn_name_full;pop_2020;n_tested;test_inc_cum;n_cases;inc_cum;n_cases_7days;inc_7days;n_tested_7days;tested_inc_7days;n_vaccines_started;n_vaccines_done;n_vaccines_started_7days;n_vaccines_done_7days;pct_vaccines_started;pct_vaccines_done;pct_vaccines_started_7days;pct_vaccines_done_7days
7040;Østervold (København Municipality);6941;5393;77697,73807808672;330;4754,358161648178;5;72,03572972194209;37;533,0643999423714;349;159;111;3;5,028093934591557;2,290736205157758;1,599193199827114;0,04322143783316525
7041;Kastels (København Municipality);6924;5343;77166,37781629116;335;4838,243789716927;1;14,44251877527441;42;606,5857885615251;416;172;133;4;6,008087810514154;2,484113229347198;1,920854997111496;0,05777007510109763
7042;Frihavns (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7043;Rosenvænget (København Municipality);15787;12685;80350,92164439095;839;5314,499271552543;11;69,67758282130868;70;443,4027997719643;849;431;236;9;5,377842528662824;2,730094381453094;1,494900867802622;0,05700893139925255
7044;Sankt Jakobs (København Municipality);13324;10438;78339,83788652057;663;4975,983188231762;12;90,06304413089163;60;450,3152206544582;960;501;234;7;7,205043530471331;3,760132092464726;1,756229360552387;0,05253677574302011
7045;Davids (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7046;Hans Egedes (København Municipality);9624;7992;83042,39401496260;490;5091,438071487947;6;62,34413965087282;56;581,8786367414797;499;245;137;0;5,184954280964256;2,545719035743974;1,423524522028263;0,00000000000000000
7050;Anna (København Municipality);7627;6317;82824,17726497968;509;6673,659368034614;12;157,33578077881211;47;616,2318080503475;425;212;143;6;5,572308902582930;2,779598793759014;1,874918054280845;0,07866789038940605
7051;Sankt Stefans (København Municipality);13011;10559;81154,40780877718;827;6356,160172162016;13;99,91545615248637;74;568,7495196372300;660;300;210;14;5,072630850818538;2,305741295826608;1,614018907078626;0,10760126047190839
7052;Samuels (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7053;Kingo-Samuel (København Municipality);22544;18538;82230,30518097941;1857;8237,224982256921;40;177,43080198722498;190;842,7963094393186;1104;500;337;12;4,897090134847409;2,217885024840312;1,494854506742370;0,05322924059616749
7054;Aldersro (København Municipality);8185;6814;83249,84728161270;574;7012,828344532682;11;134,39218081857055;96;1172,8772144166157;589;293;151;19;7,196090409285278;3,579718998167379;1,844838118509469;0,23213194868662188
7055;Kildevælds (København Municipality);10788;8786;81442,34334445681;737;6831,664812754913;13;120,50426399703375;65;602,5213199851687;607;285;167;3;5,626622172784575;2,641824249165740;1,548016314423433;0,02780867630700778
7056;Sions (København Municipality);10257;8003;78024,76357609437;516;5030,710734132787;3;29,24831822170225;78;760,4562737642585;773;392;180;4;7,536316661791948;3,821780247635761;1,754899093302135;0,03899775762893633
7057;Hyltebjerg (København Municipality);10483;8160;77840,31288753219;594;5666,316894018888;8;76,31403224267862;64;610,5122579414290;726;339;204;13;6,925498426023085;3,233807116283507;1,946007822188305;0,12401030239435278
7058;Vanløse (København Municipality);11962;9429;78824,61126901857;660;5517,471994649723;2;16,71961210499916;96;802,5413810399599;748;378;204;14;6,253134927269688;3,160006687844842;1,705400434709915;0,11703728473499415
7059;Advents (København Municipality);8186;6439;78658,68556071342;458;5594,918152944050;3;36,64793549963352;40;488,6391399951136;620;348;156;19;7,573906669924262;4,251160517957488;1,905692645980943;0,23210359149767895
7060;Grøndals (København Municipality);9060;7709;85088,30022075056;541;5971,302428256071;8;88,30022075055187;77;849,8896247240617;628;317;156;6;6,931567328918323;3,498896247240618;1,721854304635762;0,06622516556291391
7061;Ansgarkirkens (København Municipality);10432;8288;79447,85276073619;694;6652,607361963191;8;76,68711656441718;158;1514,5705521472391;521;230;163;10;4,994248466257669;2,204754601226994;1,562500000000000;0,09585889570552147
7062;Kapernaums (København Municipality);10625;8891;83680,00000000000;716;6738,823529411765;14;131,76470588235296;295;2776,4705882352941;541;243;161;7;5,091764705882353;2,287058823529412;1,515294117647059;0,06588235294117648
7063;Tagensbo (København Municipality);8282;6811;82238,58971262979;558;6737,503018594542;4;48,29751267809708;177;2137,1649360057959;460;237;111;4;5,554213957981164;2,861627626177252;1,340255976817194;0,04829751267809708
