Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     220 (52);     203 (48);     423
10-19;     451 (55);     373 (45);     824
20-29;   1.262 (59);     861 (41);   2.123
30-39;   1.211 (58);     888 (42);   2.099
40-49;   1.440 (58);   1.033 (42);   2.473
50-59;   1.464 (58);   1.056 (42);   2.520
60-69;     771 (49);     792 (51);   1.563
70-79;     536 (46);     618 (54);   1.154
80-89;     488 (57);     369 (43);     857
90+;     196 (73);      74 (27);     270
I alt;   8.039 (56);   6.267 (44);  14.306
