"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17028;99
AstraZeneca Covid-19 vaccine;Midtjylland;34026;229
AstraZeneca Covid-19 vaccine;Syddanmark;30836;475
AstraZeneca Covid-19 vaccine;Hovedstaden;46428;1099
AstraZeneca Covid-19 vaccine;Sjælland;24018;467
Janssen COVID-19 vaccine;Nordjylland;3680;3680
Janssen COVID-19 vaccine;Midtjylland;9897;9897
Janssen COVID-19 vaccine;Syddanmark;7650;7650
Janssen COVID-19 vaccine;Hovedstaden;22816;22816
Janssen COVID-19 vaccine;Sjælland;2861;2861
Moderna Covid-19 Vaccine;Nordjylland;71554;70705
Moderna Covid-19 Vaccine;Midtjylland;127504;125805
Moderna Covid-19 Vaccine;Syddanmark;136359;163220
Moderna Covid-19 Vaccine;Hovedstaden;153406;150975
Moderna Covid-19 Vaccine;Sjælland;85242;105983
Pfizer BioNTech Covid-19 vacc;Nordjylland;406368;410014
Pfizer BioNTech Covid-19 vacc;Midtjylland;950087;953646
Pfizer BioNTech Covid-19 vacc;Syddanmark;847713;823087
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1274590;1274452
Pfizer BioNTech Covid-19 vacc;Sjælland;581426;565423
