"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;506515;490433;307546;78.5;76.0;47.7;645084
Frederiksberg;86575;84210;58207;83.6;81.3;56.2;103532
Ballerup;38919;37633;26456;79.1;76.5;53.8;49199
Brøndby;25776;24819;16604;72.1;69.4;46.5;35741
Dragør;12258;11796;8637;83.8;80.7;59.1;14626
Gentofte;62114;60105;43165;83.7;81.0;58.1;74242
Gladsaxe;55368;53318;36035;79.9;77.0;52.0;69275
Glostrup;18205;17620;11877;77.6;75.1;50.6;23468
Herlev;22575;21734;14993;78.4;75.4;52.0;28808
Albertslund;20572;19738;12709;74.5;71.5;46.0;27613
Hvidovre;41387;39768;26401;77.8;74.7;49.6;53217
Høje Tåstrup;39535;38100;25303;74.6;71.9;47.7;53026
Lyngby-Taarbæk;48540;46846;33140;84.0;81.1;57.4;57760
Rødovre;32039;30857;20789;77.3;74.5;50.2;41435
Ishøj;16109;15472;9655;69.4;66.7;41.6;23206
Tårnby;34136;32905;22879;80.0;77.1;53.6;42665
Vallensbæk;12520;12065;8100;76.0;73.2;49.1;16484
Furesø;34165;33009;23686;82.6;79.8;57.3;41371
Allerød;21976;21336;15613;85.0;82.6;60.4;25846
Fredensborg;33475;32433;23421;81.3;78.7;56.9;41196
Helsingør;51653;50271;36860;82.2;80.0;58.6;62853
Hillerød;43995;42697;30245;82.6;80.2;56.8;53269
Hørsholm;21089;20532;15393;85.2;83.0;62.2;24745
Rudersdal;48391;46944;34362;84.5;82.0;60.0;57252
Egedal;36857;35737;25043;83.1;80.5;56.4;44367
Frederikssund;38438;37407;27147;84.0;81.7;59.3;45784
Greve;40657;39399;27736;80.0;77.5;54.6;50814
Køge;50321;48660;34241;81.6;78.9;55.5;61666
Halsnæs;25978;25250;18706;82.8;80.5;59.6;31372
Roskilde;74857;72778;52058;83.7;81.3;58.2;89483
Solrød;19469;18853;13233;81.8;79.2;55.6;23801
Gribskov;34106;33204;24859;82.9;80.7;60.4;41151
Odsherred;27582;26987;20074;84.0;82.2;61.1;32835
Holbæk;60520;58885;41283;83.1;80.8;56.7;72855
Faxe;30349;29517;21086;81.7;79.4;56.7;37161
Kalundborg;39676;38715;27615;82.0;80.0;57.1;48369
Ringsted;28124;27268;19058;80.0;77.6;54.2;35143
Slagelse;64820;62917;44779;81.4;79.0;56.2;79673
Stevns;19417;18866;13679;82.6;80.3;58.2;23498
Sorø;25130;24453;17472;83.7;81.5;58.2;30012
Lejre;23696;23067;16875;82.9;80.7;59.0;28584
Lolland;32779;32030;24075;81.7;79.9;60.0;40098
Næstved;69102;67288;47882;82.4;80.3;57.1;83845
Guldborgsund;49644;48558;36053;82.4;80.6;59.8;60282
Vordingborg;37404;36493;26757;82.5;80.5;59.0;45348
