"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90843;0.0;0.0
0-2;M;1;0;95766;0.0;0.0
3-5;K;8111;3524;91045;8.9;3.9
3-5;M;8864;3958;96325;9.2;4.1
6-11;K;87781;53983;179135;49.0;30.1
6-11;M;92628;57283;188237;49.2;30.4
12-15;K;106874;101691;132605;80.6;76.7
12-15;M;112749;107259;140159;80.4;76.5
16-19;K;121071;119117;134114;90.3;88.8
16-19;M;124877;122245;140402;88.9;87.1
20-39;K;621565;606420;732720;84.8;82.8
20-39;M;627048;610204;763089;82.2;80.0
40-64;K;884650;878758;946144;93.5;92.9
40-64;M;875240;869015;947520;92.4;91.7
65-79;K;456908;455839;470565;97.1;96.9
65-79;M;421255;420267;433342;97.2;97.0
80+;K;168237;167686;173489;97.0;96.7
80+;M;115623;115332;118394;97.7;97.4
