"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;498630;484498;591746
Midtjylland;1121514;1089577;1342067
Syddanmark;1022558;994432;1228386
Hovedstaden;1497240;1449342;1868228
Sjælland;693547;674734;843467
