"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;498630;484498;341116;84.3;81.9;57.6;591746
Midtjylland;1121514;1089577;764564;83.6;81.2;57.0;1342067
Syddanmark;1022558;994432;699074;83.2;81.0;56.9;1228386
Hovedstaden;1497240;1449342;983402;80.1;77.6;52.6;1868228
Sjælland;693547;674734;483956;82.2;80.0;57.4;843467
