"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;59123;32741;297908;19.8;11.0
0-9;M;63154;35170;314556;20.1;11.2
10-19;K;264721;245576;329834;80.3;74.5
10-19;M;275965;255575;346333;79.7;73.8
20-29;K;321558;313472;382502;84.1;82.0
20-29;M;327196;317410;398880;82.0;79.6
30-39;K;300007;292948;350218;85.7;83.6
30-39;M;299852;292794;364209;82.3;80.4
40-49;K;337456;334182;367696;91.8;90.9
40-49;M;329259;325814;368110;89.4;88.5
50-59;K;377758;375741;401167;94.2;93.7
50-59;M;379206;377093;404970;93.6;93.1
60-69;K;328812;327775;342391;96.0;95.7
60-69;M;319040;317911;332035;96.1;95.7
70-79;K;297532;296899;305455;97.4;97.2
70-79;M;268990;268464;275747;97.5;97.4
80-89;K;137594;137211;141495;97.2;97.0
80-89;M;102576;102335;104957;97.7;97.5
90+;K;30643;30475;31994;95.8;95.3
90+;M;13047;12997;13437;97.1;96.7
