"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90844;0.0;0.0
0-2;M;1;0;95766;0.0;0.0
3-5;K;8714;3863;91648;9.5;4.2
3-5;M;9465;4297;96926;9.8;4.4
6-11;K;88851;54903;180205;49.3;30.5
6-11;M;93827;58326;189436;49.5;30.8
12-15;K;119362;114509;145093;82.3;78.9
12-15;M;125400;120213;152810;82.1;78.7
16-19;K;124025;122033;137068;90.5;89.0
16-19;M;126751;124037;142276;89.1;87.2
20-39;K;621275;606176;732430;84.8;82.8
20-39;M;625608;608869;761649;82.1;79.9
40-64;K;890972;885110;952466;93.5;92.9
40-64;M;882202;876046;954482;92.4;91.8
65-79;K;450065;449033;463722;97.1;96.8
65-79;M;413027;412057;425114;97.2;96.9
80+;K;151932;151391;157184;96.7;96.3
80+;M;102004;101718;104775;97.4;97.1
