"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,170447,117216,28.9,19.9,590216
Midtjylland,379147,243871,28.4,18.3,1334430
Syddanmark,367047,224861,30.0,18.4,1224470
Hovedstaden,530788,343741,28.6,18.5,1856848
Sjælland,275354,171356,32.8,20.4,840525
