"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,170447,117216,590216
Midtjylland,379147,243871,1334430
Syddanmark,367047,224861,1224470
Hovedstaden,530788,343741,1856848
Sjælland,275354,171356,840525
