"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16862,0
AstraZeneca Covid-19 vaccine,Midtjylland,33639,4
AstraZeneca Covid-19 vaccine,Syddanmark,30417,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45141,18
AstraZeneca Covid-19 vaccine,Sjælland,23862,333
Moderna Covid-19 Vaccine,Nordjylland,4707,4216
Moderna Covid-19 Vaccine,Midtjylland,19577,8019
Moderna Covid-19 Vaccine,Syddanmark,16654,8525
Moderna Covid-19 Vaccine,Hovedstaden,26827,10988
Moderna Covid-19 Vaccine,Sjælland,15203,5721
Pfizer BioNTech Covid-19 vacc,Nordjylland,95846,54929
Pfizer BioNTech Covid-19 vacc,Midtjylland,199759,120551
Pfizer BioNTech Covid-19 vacc,Syddanmark,191530,104665
Pfizer BioNTech Covid-19 vacc,Hovedstaden,284131,149921
Pfizer BioNTech Covid-19 vacc,Sjælland,137891,81036
