"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,117415,59145,590317
Midtjylland,252975,128574,1333681
Syddanmark,238601,113437,1224324
Hovedstaden,356099,160927,1856325
Sjælland,176956,87090,839954
