"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,2,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,631,274
Hovedstaden,10-19,M,377,210
Hovedstaden,20-29,K,12260,4833
Hovedstaden,20-29,M,5033,2135
Hovedstaden,30-39,K,13357,6575
Hovedstaden,30-39,M,6540,3566
Hovedstaden,40-49,K,18984,9596
Hovedstaden,40-49,M,7859,4530
Hovedstaden,50-59,K,22381,12039
Hovedstaden,50-59,M,10909,6969
Hovedstaden,60-69,K,27502,13164
Hovedstaden,60-69,M,20689,9756
Hovedstaden,70-79,K,74112,14217
Hovedstaden,70-79,M,62325,12803
Hovedstaden,80-89,K,36542,29284
Hovedstaden,80-89,M,24604,19553
Hovedstaden,90+,K,8760,8333
Hovedstaden,90+,M,3232,3089
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,756,394
Midtjylland,10-19,M,307,210
Midtjylland,20-29,K,9941,4108
Midtjylland,20-29,M,3581,1816
Midtjylland,30-39,K,10619,5273
Midtjylland,30-39,M,3968,2215
Midtjylland,40-49,K,15048,7517
Midtjylland,40-49,M,5030,2792
Midtjylland,50-59,K,18241,9426
Midtjylland,50-59,M,6419,3630
Midtjylland,60-69,K,17268,11044
Midtjylland,60-69,M,10868,7375
Midtjylland,70-79,K,47239,11300
Midtjylland,70-79,M,44588,11768
Midtjylland,80-89,K,28125,23126
Midtjylland,80-89,M,21516,17371
Midtjylland,90+,K,6553,6371
Midtjylland,90+,M,2908,2838
Nordjylland,0-9,K,0,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,295,143
Nordjylland,10-19,M,119,88
Nordjylland,20-29,K,4061,1769
Nordjylland,20-29,M,1542,925
Nordjylland,30-39,K,4811,2207
Nordjylland,30-39,M,1683,966
Nordjylland,40-49,K,6756,3168
Nordjylland,40-49,M,2259,1245
Nordjylland,50-59,K,8991,4568
Nordjylland,50-59,M,2986,1872
Nordjylland,60-69,K,6741,4322
Nordjylland,60-69,M,3839,2825
Nordjylland,70-79,K,22111,4029
Nordjylland,70-79,M,20969,4087
Nordjylland,80-89,K,14279,12481
Nordjylland,80-89,M,11095,9685
Nordjylland,90+,K,3332,3255
Nordjylland,90+,M,1546,1510
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,381,146
Sjælland,10-19,M,201,109
Sjælland,20-29,K,3939,1518
Sjælland,20-29,M,1669,834
Sjælland,30-39,K,6136,2566
Sjælland,30-39,M,2254,1125
Sjælland,40-49,K,10122,4545
Sjælland,40-49,M,3411,1838
Sjælland,50-59,K,12736,6036
Sjælland,50-59,M,4913,3078
Sjælland,60-69,K,11255,7018
Sjælland,60-69,M,7954,5926
Sjælland,70-79,K,36674,8723
Sjælland,70-79,M,34759,9478
Sjælland,80-89,K,19453,15927
Sjælland,80-89,M,15026,12375
Sjælland,90+,K,4252,4094
Sjælland,90+,M,1820,1753
Syddanmark,0-9,K,1,0
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,616,273
Syddanmark,10-19,M,294,161
Syddanmark,20-29,K,7341,2847
Syddanmark,20-29,M,2894,1455
Syddanmark,30-39,K,9177,4424
Syddanmark,30-39,M,3711,2061
Syddanmark,40-49,K,13931,6790
Syddanmark,40-49,M,5064,3017
Syddanmark,50-59,K,17280,8953
Syddanmark,50-59,M,7088,4505
Syddanmark,60-69,K,13978,8948
Syddanmark,60-69,M,9316,6763
Syddanmark,70-79,K,43848,9306
Syddanmark,70-79,M,41491,9587
Syddanmark,80-89,K,29891,19940
Syddanmark,80-89,M,22660,14699
Syddanmark,90+,K,7003,6775
Syddanmark,90+,M,3017,2933
