"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-22,Hovedstaden,K,214531,98316,211444,96162,3087,2154
2021-04-22,Hovedstaden,M,141568,62611,139096,60950,2472,1661
2021-04-22,Midtjylland,K,153790,78559,150968,75459,2822,3100
2021-04-22,Midtjylland,M,99185,50015,96546,47410,2639,2605
2021-04-22,Nordjylland,K,71377,35942,69870,35917,1507,25
2021-04-22,Nordjylland,M,46038,23203,44598,23198,1440,5
2021-04-22,Sjælland,K,104948,50573,103318,49355,1630,1218
2021-04-22,Sjælland,M,72008,36517,70472,35440,1536,1077
2021-04-22,Syddanmark,K,143066,68256,140396,67754,2670,502
2021-04-22,Syddanmark,M,95535,45181,92866,44688,2669,493
,,,,,0,0,,
,,,,,1,1,,
