"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-15,Nationalt,5,5844601,0.00,5
2021-01-16,Nationalt,7,5844601,0.00,12
2021-01-17,Nationalt,703,5844601,0.01,715
2021-01-18,Nationalt,2102,5844601,0.05,2817
2021-01-19,Nationalt,2065,5844601,0.08,4882
2021-01-20,Nationalt,1866,5844601,0.12,6748
2021-01-21,Nationalt,2330,5844601,0.16,9078
2021-01-22,Nationalt,5650,5844601,0.25,14728
2021-01-23,Nationalt,7122,5844601,0.37,21850
2021-01-24,Nationalt,6504,5844601,0.49,28354
2021-01-25,Nationalt,2480,5844601,0.53,30834
2021-01-26,Nationalt,1727,5844601,0.56,32561
2021-01-27,Nationalt,4361,5844601,0.63,36922
2021-01-28,Nationalt,8114,5844601,0.77,45036
2021-01-29,Nationalt,18253,5844601,1.08,63289
2021-01-30,Nationalt,12893,5844601,1.30,76182
2021-01-31,Nationalt,12243,5844601,1.51,88425
2021-02-01,Nationalt,7885,5844601,1.65,96310
2021-02-02,Nationalt,3016,5844601,1.70,99326
2021-02-03,Nationalt,6178,5844601,1.81,105504
2021-02-04,Nationalt,10887,5844601,1.99,116391
2021-02-05,Nationalt,13420,5844601,2.22,129811
2021-02-06,Nationalt,6771,5844601,2.34,136582
2021-02-07,Nationalt,3639,5844601,2.40,140221
2021-02-08,Nationalt,7041,5844601,2.52,147262
2021-02-09,Nationalt,4893,5844601,2.60,152155
2021-02-10,Nationalt,3911,5844601,2.67,156066
2021-02-11,Nationalt,2460,5844601,2.71,158526
2021-02-12,Nationalt,7629,5844601,2.84,166155
2021-02-13,Nationalt,971,5844601,2.86,167126
2021-02-14,Nationalt,629,5844601,2.87,167755
2021-02-15,Nationalt,3141,5844601,2.92,170896
2021-02-16,Nationalt,1340,5844601,2.95,172236
2021-02-17,Nationalt,431,5844601,2.95,172667
2021-02-18,Nationalt,310,5844601,2.96,172977
2021-02-19,Nationalt,974,5844601,2.98,173951
2021-02-20,Nationalt,583,5844601,2.99,174534
2021-02-21,Nationalt,357,5844601,2.99,174891
2021-02-22,Nationalt,1103,5844601,3.01,175994
2021-02-23,Nationalt,1950,5844601,3.04,177944
2021-02-24,Nationalt,1964,5844601,3.08,179908
2021-02-25,Nationalt,642,5844601,3.09,180550
2021-02-26,Nationalt,1002,5844601,3.11,181552
2021-02-27,Nationalt,1478,5844601,3.13,183030
2021-02-28,Nationalt,1429,5844601,3.16,184459
2021-03-01,Nationalt,1062,5844601,3.17,185521
2021-03-02,Nationalt,1303,5844601,3.20,186824
2021-03-03,Nationalt,1032,5844601,3.21,187856
2021-03-04,Nationalt,1815,5844601,3.25,189671
2021-03-05,Nationalt,5698,5844601,3.34,195369
2021-03-06,Nationalt,4010,5844601,3.41,199379
2021-03-07,Nationalt,4354,5844601,3.49,203733
2021-03-08,Nationalt,6488,5844601,3.60,210221
2021-03-09,Nationalt,7271,5844601,3.72,217492
2021-03-10,Nationalt,7301,5844601,3.85,224793
2021-03-11,Nationalt,8071,5844601,3.98,232864
2021-03-12,Nationalt,10682,5844601,4.17,243546
2021-03-13,Nationalt,5973,5844601,4.27,249519
2021-03-14,Nationalt,9432,5844601,4.43,258951
2021-03-15,Nationalt,9961,5844601,4.60,268912
2021-03-16,Nationalt,9520,5844601,4.76,278432
2021-03-17,Nationalt,9258,5844601,4.92,287690
2021-03-18,Nationalt,7251,5844601,5.05,294941
2021-03-19,Nationalt,11831,5844601,5.25,306772
2021-03-20,Nationalt,4873,5844601,5.33,311645
2021-03-21,Nationalt,4697,5844601,5.41,316342
2021-03-22,Nationalt,7844,5844601,5.55,324186
2021-03-23,Nationalt,7643,5844601,5.68,331829
2021-03-24,Nationalt,13553,5844601,5.91,345382
2021-03-25,Nationalt,8499,5844601,6.05,353881
2021-03-26,Nationalt,7928,5844601,6.19,361809
2021-03-27,Nationalt,3141,5844601,6.24,364950
2021-03-28,Nationalt,2823,5844601,6.29,367773
2021-03-29,Nationalt,6247,5844601,6.40,374020
2021-03-30,Nationalt,6112,5844601,6.50,380132
2021-03-31,Nationalt,9892,5844601,6.67,390024
2021-04-01,Nationalt,6988,5844601,6.79,397012
2021-04-02,Nationalt,7055,5844601,6.91,404067
2021-04-03,Nationalt,2191,5844601,6.95,406258
2021-04-04,Nationalt,1790,5844601,6.98,408048
2021-04-05,Nationalt,1304,5844601,7.00,409352
2021-04-06,Nationalt,6162,5844601,7.11,415514
2021-04-07,Nationalt,8331,5844601,7.25,423845
2021-04-08,Nationalt,8634,5844601,7.40,432479
2021-04-09,Nationalt,8743,5844601,7.55,441222
2021-04-10,Nationalt,5456,5844601,7.64,446678
2021-04-11,Nationalt,3902,5844601,7.71,450580
2021-04-12,Nationalt,11555,5844601,7.91,462135
2021-04-13,Nationalt,6294,5844601,8.01,468429
2021-04-14,Nationalt,11216,5844601,8.21,479645
2021-04-15,Nationalt,9131,5844601,8.36,488776
2021-04-16,Nationalt,8185,5844601,8.50,496961
2021-04-17,Nationalt,2740,5844601,8.55,499701
2021-04-18,Nationalt,5160,5844601,8.64,504861
2021-04-19,Nationalt,14449,5844601,8.89,519310
2021-04-20,Nationalt,17041,5844601,9.18,536351
2021-04-21,Nationalt,12822,5844601,9.40,549173
