Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     200 (52);     186 (48);     386
10-19;     390 (55);     315 (45);     705
20-29;   1.165 (61);     745 (39);   1.910
30-39;   1.154 (60);     779 (40);   1.933
40-49;   1.365 (60);     929 (40);   2.294
50-59;   1.400 (59);     961 (41);   2.361
60-69;     742 (50);     749 (50);   1.491
70-79;     508 (46);     601 (54);   1.109
80-89;     483 (57);     361 (43);     844
90+;     196 (73);      73 (27);     269
I alt;   7.603 (57);   5.699 (43);  13.302
