"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-15,Nationalt,5,5843692,0.00,5
2021-01-16,Nationalt,7,5843692,0.00,12
2021-01-17,Nationalt,704,5843692,0.01,716
2021-01-18,Nationalt,2113,5843692,0.05,2829
2021-01-19,Nationalt,2075,5843692,0.08,4904
2021-01-20,Nationalt,1874,5843692,0.12,6778
2021-01-21,Nationalt,2343,5843692,0.16,9121
2021-01-22,Nationalt,5643,5843692,0.25,14764
2021-01-23,Nationalt,7136,5843692,0.37,21900
2021-01-24,Nationalt,6529,5843692,0.49,28429
2021-01-25,Nationalt,2499,5843692,0.53,30928
2021-01-26,Nationalt,1737,5843692,0.56,32665
2021-01-27,Nationalt,4356,5843692,0.63,37021
2021-01-28,Nationalt,8103,5843692,0.77,45124
2021-01-29,Nationalt,18267,5843692,1.08,63391
2021-01-30,Nationalt,12914,5843692,1.31,76305
2021-01-31,Nationalt,12282,5843692,1.52,88587
2021-02-01,Nationalt,7883,5843692,1.65,96470
2021-02-02,Nationalt,3025,5843692,1.70,99495
2021-02-03,Nationalt,6185,5843692,1.81,105680
2021-02-04,Nationalt,10892,5843692,1.99,116572
2021-02-05,Nationalt,13445,5843692,2.22,130017
2021-02-06,Nationalt,6754,5843692,2.34,136771
2021-02-07,Nationalt,3633,5843692,2.40,140404
2021-02-08,Nationalt,7038,5843692,2.52,147442
2021-02-09,Nationalt,4909,5843692,2.61,152351
2021-02-10,Nationalt,3909,5843692,2.67,156260
2021-02-11,Nationalt,2452,5843692,2.72,158712
2021-02-12,Nationalt,7621,5843692,2.85,166333
2021-02-13,Nationalt,972,5843692,2.86,167305
2021-02-14,Nationalt,627,5843692,2.87,167932
2021-02-15,Nationalt,3138,5843692,2.93,171070
2021-02-16,Nationalt,1332,5843692,2.95,172402
2021-02-17,Nationalt,429,5843692,2.96,172831
2021-02-18,Nationalt,305,5843692,2.96,173136
2021-02-19,Nationalt,968,5843692,2.98,174104
2021-02-20,Nationalt,574,5843692,2.99,174678
2021-02-21,Nationalt,350,5843692,3.00,175028
2021-02-22,Nationalt,1100,5843692,3.01,176128
2021-02-23,Nationalt,1956,5843692,3.05,178084
2021-02-24,Nationalt,1966,5843692,3.08,180050
2021-02-25,Nationalt,638,5843692,3.09,180688
2021-02-26,Nationalt,996,5843692,3.11,181684
2021-02-27,Nationalt,1479,5843692,3.13,183163
2021-02-28,Nationalt,1425,5843692,3.16,184588
2021-03-01,Nationalt,1047,5843692,3.18,185635
2021-03-02,Nationalt,1300,5843692,3.20,186935
2021-03-03,Nationalt,1021,5843692,3.22,187956
2021-03-04,Nationalt,1812,5843692,3.25,189768
2021-03-05,Nationalt,5678,5843692,3.34,195446
2021-03-06,Nationalt,4010,5843692,3.41,199456
2021-03-07,Nationalt,4359,5843692,3.49,203815
2021-03-08,Nationalt,6480,5843692,3.60,210295
2021-03-09,Nationalt,7252,5843692,3.72,217547
2021-03-10,Nationalt,7297,5843692,3.85,224844
2021-03-11,Nationalt,8060,5843692,3.99,232904
2021-03-12,Nationalt,10677,5843692,4.17,243581
2021-03-13,Nationalt,5977,5843692,4.27,249558
2021-03-14,Nationalt,9433,5843692,4.43,258991
2021-03-15,Nationalt,9967,5843692,4.60,268958
2021-03-16,Nationalt,9521,5843692,4.77,278479
2021-03-17,Nationalt,9251,5843692,4.92,287730
2021-03-18,Nationalt,7255,5843692,5.05,294985
2021-03-19,Nationalt,11828,5843692,5.25,306813
2021-03-20,Nationalt,4876,5843692,5.33,311689
2021-03-21,Nationalt,4693,5843692,5.41,316382
2021-03-22,Nationalt,7842,5843692,5.55,324224
2021-03-23,Nationalt,7649,5843692,5.68,331873
2021-03-24,Nationalt,13538,5843692,5.91,345411
2021-03-25,Nationalt,8494,5843692,6.06,353905
2021-03-26,Nationalt,7921,5843692,6.19,361826
2021-03-27,Nationalt,3140,5843692,6.25,364966
2021-03-28,Nationalt,2810,5843692,6.29,367776
2021-03-29,Nationalt,6195,5843692,6.40,373971
2021-03-30,Nationalt,6106,5843692,6.50,380077
2021-03-31,Nationalt,9898,5843692,6.67,389975
2021-04-01,Nationalt,6981,5843692,6.79,396956
2021-04-02,Nationalt,7056,5843692,6.91,404012
2021-04-03,Nationalt,2191,5843692,6.95,406203
2021-04-04,Nationalt,1783,5843692,6.98,407986
2021-04-05,Nationalt,1296,5843692,7.00,409282
2021-04-06,Nationalt,6112,5843692,7.11,415394
