"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,62087,30068,638788
Frederiksberg,13945,6944,103274
Ballerup,7397,3524,49053
Brøndby,5400,2795,35376
Dragør,2346,1206,14553
Gentofte,11114,5886,74330
Gladsaxe,9479,5035,69095
Glostrup,3777,2185,23490
Herlev,4420,2373,28764
Albertslund,3911,2073,27167
Hvidovre,7878,4470,53323
Høje-Taastrup,7428,3718,52116
Lyngby-Taarbæk,8305,4541,56918
Rødovre,5734,3064,41199
Ishøj,2945,1422,23079
Tårnby,6039,3168,42679
Vallensbæk,2629,1268,16557
Furesø,6407,3438,40987
Allerød,3906,2104,25872
Fredensborg,6248,3450,40985
Helsingør,10235,5277,63043
Hillerød,8428,4349,51702
Hørsholm,4357,2470,24857
Rudersdal,9200,4934,57030
Egedal,6010,2746,43713
Frederikssund,7773,3765,45628
Greve,6748,3545,50597
Køge,8359,4245,61550
Frederiksværk-Hundested,5541,2545,31468
Roskilde,12842,6543,88745
Solrød,3005,1570,23456
Gribskov,6974,3408,41039
Odsherred,5655,2588,32933
Holbæk,11039,5129,72021
Faxe,5046,2512,36785
Kalundborg,7360,3321,48412
Ringsted,4376,2054,35005
Slagelse,13266,5264,79313
Stevns,3508,1635,23229
Sorø,4849,2051,29949
Lejre,4166,2041,28358
Lolland,6569,2996,40387
Næstved,12795,6114,83354
Guldborgsund,10869,4845,60361
Vordingborg,7299,3375,45217
Bornholm,7374,3296,39745
Middelfart,5896,3533,39306
Assens,5499,2881,40884
Faaborg-Midtfyn,7131,3816,51667
Kerteminde,3550,1816,23849
Nyborg,4763,2244,31976
Odense,27728,14036,204932
Svendborg,9187,5403,58831
Nordfyns,4059,2098,29543
Langeland,2096,1111,12351
Ærø,966,572,5996
Haderslev,6379,3919,55367
Billund,3229,1933,26508
Sønderborg,9549,5831,73784
Tønder,4205,2754,37038
Esbjerg,17123,9214,115577
Fanø,478,315,3438
Varde,6814,4089,49717
Vejen,5580,3465,42803
Aabenraa,6144,3784,58567
Fredericia,7097,4390,51367
Horsens,11353,5873,92655
Kolding,11268,6991,93118
Vejle,15132,8785,117586
Herning,12621,6774,89339
Holstebro,8753,4588,58670
Lemvig,3069,1670,19547
Struer,3571,1881,20815
Syddjurs,6231,3341,43383
Norddjurs,5586,3266,36986
Favrskov,6171,3291,48494
Odder,3480,1928,23020
Randers,13595,7278,98361
Silkeborg,13425,6774,95984
Samsø,715,467,3701
Skanderborg,8033,3864,63469
Århus,42749,20327,352418
Ikast-Brande,5361,2769,41581
Ringkøbing-Skjern,8139,4331,56153
Hedensted,6135,3314,46902
Morsø,3326,2068,20072
Skive,7170,4017,45382
Thisted,5970,3225,43122
Viborg,15084,7979,96703
Brønderslev-Dronninglund,5280,2648,36115
Frederikshavn,9615,4814,58953
Vesthimmerlands,5874,2806,36355
Læsø,404,188,1781
Rebild,3993,2017,30529
Mariagerfjord,6123,3205,41594
Jammerbugt,5288,2559,38187
Ålborg,29294,14754,219607
Hjørring,9917,5048,64107
