"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-15;Hovedstaden;K;747188;719832;245983;746140;719463;231902;1048;369;14081
2021-12-15;Hovedstaden;M;701023;673319;194189;699959;672998;180757;1064;321;13432
2021-12-15;Midtjylland;K;549782;526988;180246;548742;526705;173169;1040;283;7077
2021-12-15;Midtjylland;M;537972;513770;135880;536894;513522;129185;1078;248;6695
2021-12-15;Nordjylland;K;241336;232786;74722;240950;232601;71929;386;185;2793
2021-12-15;Nordjylland;M;240984;231539;54197;240634;231344;51795;350;195;2402
2021-12-15;Sjælland;K;342107;330654;119376;341571;330529;115638;536;125;3738
2021-12-15;Sjælland;M;331217;318910;90991;330669;318798;87318;548;112;3673
2021-12-15;Syddanmark;K;501370;481781;160680;500835;481608;154864;535;173;5816
2021-12-15;Syddanmark;M;490257;469054;121126;489655;468869;116057;602;185;5069
