"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;20750;4;297913;7.0;0.0
0-9;M;22168;6;314571;7.0;0.0
10-19;K;244122;211023;330214;73.9;63.9
10-19;M;254426;218768;346628;73.4;63.1
20-29;K;316180;303071;383139;82.5;79.1
20-29;M;321976;307204;399344;80.6;76.9
30-39;K;295263;283161;349706;84.4;81.0
30-39;M;295486;284355;363577;81.3;78.2
40-49;K;336250;331225;368241;91.3;89.9
40-49;M;327915;322337;368640;89.0;87.4
50-59;K;376617;373627;401066;93.9;93.2
50-59;M;377808;374599;404854;93.3;92.5
60-69;K;327799;326417;341938;95.9;95.5
60-69;M;317883;316458;331700;95.8;95.4
70-79;K;297003;296305;305386;97.3;97.0
70-79;M;268544;267921;275771;97.4;97.2
80-89;K;137093;136670;141273;97.0;96.7
80-89;M;102151;101900;104737;97.5;97.3
90+;K;30706;30538;32178;95.4;94.9
90+;M;13096;13044;13526;96.8;96.4
