"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90771;0.0;0.0
0-2;M;1;0;95773;0.0;0.0
3-5;K;1859;1;91035;2.0;0.0
3-5;M;1976;3;96228;2.1;0.0
6-11;K;40529;15;179705;22.6;0.0
6-11;M;43049;21;189026;22.8;0.0
12-15;K;114415;106206;144229;79.3;73.6
12-15;M;120292;111553;151875;79.2;73.5
16-19;K;122790;119395;137117;89.6;87.1
16-19;M;125227;120942;142248;88.0;85.0
20-39;K;611211;586063;732613;83.4;80.0
20-39;M;616171;590388;761630;80.9;77.5
40-64;K;887834;879028;952424;93.2;92.3
40-64;M;878557;868921;954477;92.0;91.0
65-79;K;450035;448807;464407;96.9;96.6
65-79;M;413251;412133;426146;97.0;96.7
80+;K;153101;152524;158753;96.4;96.1
80+;M;102929;102631;105945;97.2;96.9
