"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;20903;5;298066;7.0;0.0
0-9;M;22344;6;314747;7.1;0.0
10-19;K;258699;225614;344791;75.0;65.4
10-19;M;268201;232513;360403;74.4;64.5
20-29;K;314698;301525;381657;82.5;79.0
20-29;M;320984;306242;398352;80.6;76.9
30-39;K;296513;284538;350956;84.5;81.1
30-39;M;295187;284146;363278;81.3;78.2
40-49;K;342780;337755;374771;91.5;90.1
40-49;M;334843;329279;375568;89.2;87.7
50-59;K;377154;374192;401603;93.9;93.2
50-59;M;377968;374803;405014;93.3;92.5
60-69;K;325354;323985;339493;95.8;95.4
60-69;M;316338;314925;330155;95.8;95.4
70-79;K;292581;291903;300964;97.2;97.0
70-79;M;262659;262047;269886;97.3;97.1
80-89;K;127762;127342;131942;96.8;96.5
80-89;M;92738;92484;95324;97.3;97.0
90+;K;25339;25182;26811;94.5;93.9
90+;M;10191;10147;10621;96.0;95.5
