"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90770;0.0;0.0
0-2;M;1;0;95773;0.0;0.0
3-5;K;1842;1;91018;2.0;0.0
3-5;M;1964;3;96216;2.0;0.0
6-11;K;40297;7;179473;22.5;0.0
6-11;M;42790;14;188767;22.7;0.0
12-15;K;102737;94388;132551;77.5;71.2
12-15;M;108390;99509;139973;77.4;71.1
16-19;K;119988;116629;134315;89.3;86.8
16-19;M;123449;119248;140470;87.9;84.9
20-39;K;611443;586232;732845;83.4;80.0
20-39;M;617462;591559;762921;80.9;77.5
40-64;K;881708;872870;946298;93.2;92.2
40-64;M;871850;862152;947770;92.0;91.0
65-79;K;455961;454704;470333;96.9;96.7
65-79;M;420300;419163;433195;97.0;96.8
80+;K;167799;167208;173451;96.7;96.4
80+;M;115247;114944;118263;97.4;97.2
