"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;491149;472010;114457;76.1;73.2;17.7;645195
Frederiksberg;84225;81283;27058;81.1;78.3;26.1;103825
Ballerup;37555;36235;11874;76.3;73.6;24.1;49226
Brøndby;24959;23966;8162;70.0;67.2;22.9;35644
Dragør;11758;11321;4504;80.4;77.4;30.8;14628
Gentofte;59863;57336;22780;80.6;77.2;30.7;74228
Gladsaxe;53176;51092;16215;76.7;73.7;23.4;69297
Glostrup;17653;17014;5709;75.1;72.4;24.3;23498
Herlev;21798;20932;7298;75.6;72.6;25.3;28834
Albertslund;19827;18834;6141;71.9;68.3;22.3;27562
Hvidovre;39827;38237;12544;74.8;71.8;23.5;53269
Høje Tåstrup;38088;36363;11701;72.0;68.8;22.1;52882
Lyngby-Taarbæk;46717;44797;15742;80.7;77.4;27.2;57883
Rødovre;30892;29654;9794;74.6;71.6;23.6;41418
Ishøj;15594;14844;5198;67.3;64.0;22.4;23183
Tårnby;33032;31607;10018;77.3;74.0;23.5;42719
Vallensbæk;12093;11531;4149;73.3;69.9;25.2;16488
Furesø;32736;31398;11783;79.1;75.8;28.5;41405
Allerød;21070;20364;7173;81.4;78.7;27.7;25870
Fredensborg;32199;31138;11263;78.2;75.7;27.4;41151
Helsingør;50222;48378;17601;79.8;76.9;28.0;62951
Hillerød;42212;40937;13102;79.3;76.9;24.6;53208
Hørsholm;20478;19860;8504;82.7;80.2;34.3;24763
Rudersdal;46585;44892;17662;81.3;78.3;30.8;57304
Egedal;35627;34254;11130;80.3;77.2;25.1;44346
Frederikssund;37330;36166;13086;81.6;79.0;28.6;45759
Greve;39323;37830;13400;77.4;74.5;26.4;50808
Køge;48735;47154;14418;78.9;76.4;23.4;61746
Halsnæs;25200;24501;9224;80.4;78.2;29.4;31344
Roskilde;72578;69930;22531;81.1;78.2;25.2;89449
Solrød;18733;18105;5847;78.8;76.2;24.6;23761
Gribskov;33088;32207;11913;80.4;78.3;29.0;41145
Odsherred;27020;26217;9279;82.2;79.7;28.2;32879
Holbæk;58790;56521;17941;80.7;77.6;24.6;72810
