"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,68023,35606,11.5,6.0,590414
Midtjylland,144710,74894,10.9,5.6,1333121
Syddanmark,139586,67687,11.4,5.5,1223973
Hovedstaden,194403,95905,10.5,5.2,1856045
Sjælland,93966,49786,11.2,5.9,839298
