Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.619.051; 150.685;   7.904;   1.351
Sjælland; 678.248;  41.702;   2.718;     406
Syddanmark;1.011.798;  44.710;   1.920;     227
Midtjylland;1.106.052;  57.802;   2.379;     363
Nordjylland; 510.738;  23.998;   1.028;     191
