"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-05;Hovedstaden;K;718904;705640;67462;718613;705406;64570;291;234;2892
2021-11-05;Hovedstaden;M;673932;661069;45430;673645;660887;43753;287;182;1677
2021-11-05;Midtjylland;K;524719;517569;52065;524543;517441;49818;176;128;2247
2021-11-05;Midtjylland;M;512465;504608;33247;512287;504504;32030;178;104;1217
2021-11-05;Nordjylland;K;232391;229099;22927;232306;229053;22182;85;46;745
2021-11-05;Nordjylland;M;231448;227657;13960;231382;227613;13602;66;44;358
2021-11-05;Sjælland;K;329227;324770;33179;329133;324725;32394;94;45;785
2021-11-05;Sjælland;M;317734;313275;21480;317677;313241;20906;57;34;574
2021-11-05;Syddanmark;K;479723;473188;46677;479537;473084;45057;186;104;1620
2021-11-05;Syddanmark;M;467453;460477;30938;467285;460394;30024;168;83;914
