"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;8;0
Hovedstaden;0-9;M;4;1
Hovedstaden;10-19;K;62951;60311
Hovedstaden;10-19;M;64827;61840
Hovedstaden;20-29;K;114656;110975
Hovedstaden;20-29;M;108710;104595
Hovedstaden;30-39;K;104217;100594
Hovedstaden;30-39;M;102954;100135
Hovedstaden;40-49;K;109998;108372
Hovedstaden;40-49;M;106902;105489
Hovedstaden;50-59;K;112023;111137
Hovedstaden;50-59;M;111061;110191
Hovedstaden;60-69;K;88604;88208
Hovedstaden;60-69;M;84044;83655
Hovedstaden;70-79;K;82261;82047
Hovedstaden;70-79;M;68604;68431
Hovedstaden;80-89;K;36466;36341
Hovedstaden;80-89;M;24071;23995
Hovedstaden;90+;K;7720;7655
Hovedstaden;90+;M;2755;2737
Midtjylland;0-9;K;3;1
Midtjylland;0-9;M;4;0
Midtjylland;10-19;K;54171;52473
Midtjylland;10-19;M;55515;53486
Midtjylland;20-29;K;74763;72687
Midtjylland;20-29;M;76607;73944
Midtjylland;30-39;K;63940;62079
Midtjylland;30-39;M;65430;63785
Midtjylland;40-49;K;76382;75682
Midtjylland;40-49;M;75254;74429
Midtjylland;50-59;K;83754;83322
Midtjylland;50-59;M;84097;83707
Midtjylland;60-69;K;74174;73961
Midtjylland;60-69;M;72709;72532
Midtjylland;70-79;K;63990;63922
Midtjylland;70-79;M;59271;59197
Midtjylland;80-89;K;27892;27824
Midtjylland;80-89;M;21139;21099
Midtjylland;90+;K;5650;5618
Midtjylland;90+;M;2439;2429
Nordjylland;0-9;K;3;0
Nordjylland;0-9;M;0;0
Nordjylland;10-19;K;22497;21705
Nordjylland;10-19;M;23712;22719
Nordjylland;20-29;K;29395;28422
Nordjylland;20-29;M;33193;31923
Nordjylland;30-39;K;26155;25339
Nordjylland;30-39;M;27100;26314
Nordjylland;40-49;K;31825;31521
Nordjylland;40-49;M;31850;31493
Nordjylland;50-59;K;38110;37903
Nordjylland;50-59;M;38476;38262
Nordjylland;60-69;K;35699;35588
Nordjylland;60-69;M;35167;35074
Nordjylland;70-79;K;31713;31672
Nordjylland;70-79;M;29867;29821
Nordjylland;80-89;K;14147;14116
Nordjylland;80-89;M;10813;10789
Nordjylland;90+;K;2847;2833
Nordjylland;90+;M;1270;1262
Sjælland;0-9;K;1;1
Sjælland;0-9;M;2;1
Sjælland;10-19;K;32343;31279
Sjælland;10-19;M;34147;32926
Sjælland;20-29;K;27778;26770
Sjælland;20-29;M;30600;29474
Sjælland;30-39;K;34571;33447
Sjælland;30-39;M;33628;32627
Sjælland;40-49;K;49374;48847
Sjælland;40-49;M;47044;46506
Sjælland;50-59;K;59300;58912
Sjælland;50-59;M;59384;59078
Sjælland;60-69;K;52602;52432
Sjælland;60-69;M;51129;50975
Sjælland;70-79;K;49470;49377
Sjælland;70-79;M;45055;44973
Sjælland;80-89;K;20098;20035
Sjælland;80-89;M;15214;15192
Sjælland;90+;K;3690;3670
Sjælland;90+;M;1531;1523
Syddanmark;0-9;K;4;2
Syddanmark;0-9;M;3;1
Syddanmark;10-19;K;48590;47082
Syddanmark;10-19;M;49892;48080
Syddanmark;20-29;K;52726;50975
Syddanmark;20-29;M;57009;54940
Syddanmark;30-39;K;53170;51483
Syddanmark;30-39;M;53739;52253
Syddanmark;40-49;K;69574;68828
Syddanmark;40-49;M;67540;66742
Syddanmark;50-59;K;81063;80638
Syddanmark;50-59;M;81754;81269
Syddanmark;60-69;K;73280;73071
Syddanmark;60-69;M;72325;72134
Syddanmark;70-79;K;65303;65203
Syddanmark;70-79;M;60254;60168
Syddanmark;80-89;K;29967;29904
Syddanmark;80-89;M;22403;22364
Syddanmark;90+;K;6046;6002
Syddanmark;90+;M;2534;2526
