"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;16;3;297741;0.0;0.0
0-9;M;13;3;314254;0.0;0.0
10-19;K;208944;201410;330432;63.2;61.0
10-19;M;217099;208284;346785;62.6;60.1
20-29;K;300807;291353;382719;78.6;76.1
20-29;M;307220;295939;398776;77.0;74.2
30-39;K;280472;271249;348701;80.4;77.8
30-39;M;282770;274945;362115;78.1;75.9
40-49;K;331668;327744;369053;89.9;88.8
40-49;M;322793;318829;369428;87.4;86.3
50-59;K;373570;371215;400874;93.2;92.6
50-59;M;374387;372085;404605;92.5;92.0
60-69;K;326177;325055;341547;95.5;95.2
60-69;M;316428;315407;331577;95.4;95.1
70-79;K;296131;295597;305078;97.1;96.9
70-79;M;267566;267103;275431;97.1;97.0
80-89;K;136420;136070;140947;96.8;96.5
80-89;M;101670;101465;104487;97.3;97.1
90+;K;30759;30570;32325;95.2;94.6
90+;M;13086;13026;13544;96.6;96.2
