"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;3;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;1;0
Hovedstaden;3-5;M;2;1
Hovedstaden;6-11;K;13;4
Hovedstaden;6-11;M;6;4
Hovedstaden;12-15;K;28708;26961
Hovedstaden;12-15;M;30498;28639
Hovedstaden;16-19;K;34234;33346
Hovedstaden;16-19;M;34325;33197
Hovedstaden;20-39;K;218873;211569
Hovedstaden;20-39;M;211664;204730
Hovedstaden;40-64;K;268274;265531
Hovedstaden;40-64;M;263623;261084
Hovedstaden;65-79;K;124612;124233
Hovedstaden;65-79;M;106988;106682
Hovedstaden;80+;K;44186;43996
Hovedstaden;80+;M;26826;26732
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;0;0
Midtjylland;3-5;M;0;0
Midtjylland;6-11;K;0;0
Midtjylland;6-11;M;3;0
Midtjylland;12-15;K;24977;23743
Midtjylland;12-15;M;26103;24779
Midtjylland;16-19;K;29194;28730
Midtjylland;16-19;M;29412;28707
Midtjylland;20-39;K;138703;134766
Midtjylland;20-39;M;142037;137729
Midtjylland;40-64;K;198122;196854
Midtjylland;40-64;M;196823;195501
Midtjylland;65-79;K;100178;100033
Midtjylland;65-79;M;94508;94364
Midtjylland;80+;K;33542;33442
Midtjylland;80+;M;23578;23528
Nordjylland;0-2;K;1;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;1;0
Nordjylland;3-5;M;0;0
Nordjylland;6-11;K;1;0
Nordjylland;6-11;M;0;0
Nordjylland;12-15;K;10328;9730
Nordjylland;12-15;M;11149;10523
Nordjylland;16-19;K;12169;11975
Nordjylland;16-19;M;12563;12196
Nordjylland;20-39;K;55550;53761
Nordjylland;20-39;M;60293;58237
Nordjylland;40-64;K;88275;87704
Nordjylland;40-64;M;88411;87784
Nordjylland;65-79;K;49072;48980
Nordjylland;65-79;M;46949;46866
Nordjylland;80+;K;16994;16949
Nordjylland;80+;M;12083;12051
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;1;1
Sjælland;3-5;M;2;1
Sjælland;6-11;K;0;0
Sjælland;6-11;M;2;0
Sjælland;12-15;K;15124;14331
Sjælland;12-15;M;15886;15043
Sjælland;16-19;K;17219;16948
Sjælland;16-19;M;18259;17883
Sjælland;20-39;K;62349;60217
Sjælland;20-39;M;64228;62101
Sjælland;40-64;K;135707;134688
Sjælland;40-64;M;132903;131965
Sjælland;65-79;K;75039;74880
Sjælland;65-79;M;69709;69567
Sjælland;80+;K;23788;23705
Sjælland;80+;M;16745;16715
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;0;0
Syddanmark;3-5;M;0;0
Syddanmark;6-11;K;5;4
Syddanmark;6-11;M;9;6
Syddanmark;12-15;K;22349;21215
Syddanmark;12-15;M;23373;22172
Syddanmark;16-19;K;26238;25864
Syddanmark;16-19;M;26513;25903
Syddanmark;20-39;K;105896;102458
Syddanmark;20-39;M;110748;107193
Syddanmark;40-64;K;188230;186923
Syddanmark;40-64;M;186629;185221
Syddanmark;65-79;K;100990;100817
Syddanmark;65-79;M;95244;95092
Syddanmark;80+;K;36013;35906
Syddanmark;80+;M;24937;24890
