"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16982;54
AstraZeneca Covid-19 vaccine;Midtjylland;33910;141
AstraZeneca Covid-19 vaccine;Syddanmark;30721;401
AstraZeneca Covid-19 vaccine;Hovedstaden;46016;755
AstraZeneca Covid-19 vaccine;Sjælland;23968;429
Janssen COVID-19 vaccine;Nordjylland;3639;3639
Janssen COVID-19 vaccine;Midtjylland;9831;9831
Janssen COVID-19 vaccine;Syddanmark;7508;7508
Janssen COVID-19 vaccine;Hovedstaden;22502;22502
Janssen COVID-19 vaccine;Sjælland;2815;2815
Moderna Covid-19 Vaccine;Nordjylland;70196;68994
Moderna Covid-19 Vaccine;Midtjylland;122500;119958
Moderna Covid-19 Vaccine;Syddanmark;131434;157557
Moderna Covid-19 Vaccine;Hovedstaden;148591;144469
Moderna Covid-19 Vaccine;Sjælland;82416;102825
Pfizer BioNTech Covid-19 vacc;Nordjylland;373022;384069
Pfizer BioNTech Covid-19 vacc;Midtjylland;870943;892247
Pfizer BioNTech Covid-19 vacc;Syddanmark;777513;768199
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1175727;1198983
Pfizer BioNTech Covid-19 vacc;Sjælland;537762;531976
