"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-05;København;K;242288;236713;16594;242150;236594;16021;138;119;573
2021-11-05;København;M;229994;224633;13689;229889;224554;13273;105;79;416
2021-11-05;Frederiksberg;K;43358;42628;3676;43346;42623;3466;12;5;210
2021-11-05;Frederiksberg;M;37860;37182;2807;37849;37172;2689;11;10;118
2021-11-05;Ballerup;K;18826;18509;2015;18819;18505;1952;7;4;63
2021-11-05;Ballerup;M;17438;17131;1205;17432;17127;1162;6;4;43
2021-11-05;Brøndby;K;12503;12208;1424;12498;12200;1395;5;8;29
2021-11-05;Brøndby;M;11550;11279;877;11543;11271;854;7;8;23
2021-11-05;Dragør;K;5843;5766;607;5844;5767;603;-1;-1;4
2021-11-05;Dragør;M;5443;5359;435;5442;5359;432;1;0;3
2021-11-05;Gentofte;K;30239;29770;3211;30228;29765;3065;11;5;146
2021-11-05;Gentofte;M;27019;26593;2038;27005;26583;1961;14;10;77
2021-11-05;Gladsaxe;K;26113;25674;2826;26106;25664;2707;7;10;119
2021-11-05;Gladsaxe;M;25047;24615;1530;25037;24610;1466;10;5;64
2021-11-05;Glostrup;K;8743;8586;1188;8740;8583;1038;3;3;150
2021-11-05;Glostrup;M;8324;8174;683;8323;8172;627;1;2;56
2021-11-05;Herlev;K;10968;10755;1356;10965;10753;1305;3;2;51
2021-11-05;Herlev;M;10031;9839;679;10026;9838;651;5;1;28
2021-11-05;Albertslund;K;9682;9423;977;9677;9422;950;5;1;27
2021-11-05;Albertslund;M;9247;8972;663;9237;8970;643;10;2;20
2021-11-05;Hvidovre;K;19698;19288;2034;19692;19281;1984;6;7;50
2021-11-05;Hvidovre;M;18639;18282;1239;18629;18275;1213;10;7;26
2021-11-05;Høje Tåstrup;K;18360;17982;1996;18352;17970;1932;8;12;64
2021-11-05;Høje Tåstrup;M;17937;17541;1280;17926;17536;1246;11;5;34
2021-11-05;Lyngby-Taarbæk;K;22982;22658;2512;22974;22653;2344;8;5;168
2021-11-05;Lyngby-Taarbæk;M;21694;21346;1465;21675;21338;1388;19;8;77
2021-11-05;Rødovre;K;15413;15152;1673;15407;15143;1630;6;9;43
2021-11-05;Rødovre;M;14157;13877;888;14147;13869;871;10;8;17
2021-11-05;Ishøj;K;7609;7394;702;7610;7392;689;-1;2;13
2021-11-05;Ishøj;M;7280;7066;442;7280;7068;436;0;-2;6
2021-11-05;Tårnby;K;16267;16014;1595;16261;16011;1528;6;3;67
2021-11-05;Tårnby;M;15339;15065;950;15334;15064;921;5;1;29
2021-11-05;Vallensbæk;K;5877;5750;687;5874;5750;660;3;0;27
2021-11-05;Vallensbæk;M;5691;5575;497;5693;5576;479;-2;-1;18
