"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90528;0.0;0.0
0-2;M;1;0;95502;0.0;0.0
3-5;K;4;1;91104;0.0;0.0
3-5;M;4;2;96251;0.0;0.0
6-11;K;15;5;179588;0.0;0.0
6-11;M;16;7;188989;0.0;0.0
12-15;K;92459;87042;132631;69.7;65.6
12-15;M;97852;92117;139949;69.9;65.8
16-19;K;116474;114363;134321;86.7;85.1
16-19;M;119239;116161;140348;85.0;82.8
20-39;K;581279;562602;731420;79.5;76.9
20-39;M;589990;570884;760891;77.5;75.0
40-64;K;873059;866098;946643;92.2;91.5
40-64;M;862256;855344;948077;90.9;90.2
65-79;K;454487;453513;469909;96.7;96.5
65-79;M;418918;418080;432964;96.8;96.6
80+;K;167179;166640;173273;96.5;96.2
80+;M;114756;114491;118031;97.2;97.0
