"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;463839;456756;36887;78.4;77.2;6.2;591906
Midtjylland;1037184;1022177;85312;77.3;76.2;6.4;1340990
Syddanmark;947176;933665;77615;77.2;76.1;6.3;1227586
Hovedstaden;1392836;1366709;112892;74.6;73.2;6.0;1866984
Sjælland;646961;638045;54659;76.7;75.7;6.5;842953
