"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;19;4;297744;0.0;0.0
0-9;M;13;3;314254;0.0;0.0
10-19;K;220552;212850;342040;64.5;62.2
10-19;M;228093;219051;357779;63.8;61.2
20-29;K;299318;289829;381230;78.5;76.0
20-29;M;306119;294876;397675;77.0;74.1
30-39;K;282053;272942;350282;80.5;77.9
30-39;M;282851;275114;362196;78.1;76.0
40-49;K;337153;333250;374538;90.0;89.0
40-49;M;328590;324659;375225;87.6;86.5
50-59;K;374250;371912;401554;93.2;92.6
50-59;M;374772;372507;404990;92.5;92.0
60-69;K;324359;323260;339729;95.5;95.2
60-69;M;315374;314370;330523;95.4;95.1
70-79;K;292737;292221;301684;97.0;96.9
70-79;M;263051;262590;270916;97.1;96.9
80-89;K;128570;128220;133097;96.6;96.3
80-89;M;93640;93439;96457;97.1;96.9
90+;K;25953;25778;27519;94.3;93.7
90+;M;10529;10477;10987;95.8;95.4
