"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;472282;461346;30283;73.3;71.6;4.7;644400
Frederiksberg;81218;79810;6483;78.2;76.9;6.2;103812
Ballerup;36264;35640;3220;73.7;72.5;6.5;49172
Brøndby;24053;23487;2301;67.7;66.1;6.5;35530
Dragør;11286;11125;1042;77.2;76.1;7.1;14614
Gentofte;57258;56363;5249;77.1;75.9;7.1;74228
Gladsaxe;51160;50289;4356;73.9;72.7;6.3;69207
Glostrup;17067;16760;1871;72.7;71.4;8.0;23483
Herlev;20999;20594;2035;72.8;71.4;7.1;28855
Albertslund;18929;18395;1640;68.9;66.9;6.0;27489
Hvidovre;38337;37570;3273;72.0;70.5;6.1;53270
Høje Tåstrup;36297;35523;3276;68.8;67.3;6.2;52771
Lyngby-Taarbæk;44676;44004;3977;77.2;76.1;6.9;57853
Rødovre;29570;29029;2561;71.6;70.3;6.2;41274
Ishøj;14889;14460;1144;64.3;62.5;4.9;23149
Tårnby;31606;31079;2545;74.1;72.8;6.0;42662
Vallensbæk;11568;11325;1184;70.0;68.6;7.2;16514
Furesø;31352;30938;3166;75.8;74.8;7.7;41377
Allerød;20303;20093;1866;78.5;77.7;7.2;25874
Fredensborg;31056;30603;2778;75.6;74.5;6.8;41081
Helsingør;48374;47605;4100;76.8;75.5;6.5;63028
Hillerød;40757;40185;3801;76.8;75.7;7.2;53059
Hørsholm;19810;19571;2168;79.9;79.0;8.7;24783
Rudersdal;44776;44174;4400;78.2;77.1;7.7;57274
Egedal;34208;33743;2543;77.2;76.1;5.7;44330
Frederikssund;36149;35632;3231;79.0;77.9;7.1;45746
Greve;37670;37092;3053;74.2;73.1;6.0;50751
Køge;46938;46249;4081;76.1;75.0;6.6;61704
Halsnæs;24493;24146;2411;78.1;77.0;7.7;31346
Roskilde;69604;68674;6424;77.9;76.8;7.2;89377
Solrød;17941;17699;1502;75.8;74.7;6.3;23684
Gribskov;32117;31667;2959;78.2;77.1;7.2;41095
Odsherred;26186;25857;2275;79.6;78.6;6.9;32910
Holbæk;56372;55547;5113;77.5;76.4;7.0;72737
Faxe;28239;27875;2081;76.2;75.2;5.6;37046
Kalundborg;37236;36748;2767;76.9;75.9;5.7;48435
Ringsted;25980;25636;1673;74.0;73.0;4.8;35121
Slagelse;60300;59373;5234;75.7;74.6;6.6;79629
Stevns;18152;17946;1477;77.5;76.6;6.3;23418
Sorø;23301;23011;1822;77.7;76.7;6.1;30002
Lejre;21988;21726;1970;76.9;76.0;6.9;28600
Lolland;30862;30428;2762;76.8;75.7;6.9;40183
Næstved;64203;63319;5721;76.7;75.7;6.8;83663
Guldborgsund;46746;46102;4216;77.5;76.4;7.0;60309
Vordingborg;35243;34763;2488;77.7;76.6;5.5;45384
Bornholm;31982;31553;3029;80.5;79.5;7.6;39708
Middelfart;31329;30966;2990;79.2;78.3;7.6;39549
Assens;32519;32108;2393;79.4;78.4;5.8;40934
Faaborg-Midtfyn;40857;40306;3334;78.8;77.8;6.4;51826
Kerteminde;19119;18893;1420;79.7;78.7;5.9;23998
Nyborg;25518;25225;1806;79.6;78.7;5.6;32068
Odense;160064;157616;13135;77.7;76.5;6.4;206127
Svendborg;46798;46183;4771;79.1;78.1;8.1;59142
Nordfyn;23164;22870;1681;78.0;77.0;5.7;29709
Langeland;10009;9912;734;81.2;80.4;6.0;12326
Ærø;5010;4963;321;83.3;82.5;5.3;6016
Haderslev;42234;41576;3225;76.3;75.1;5.8;55345
Billund;20436;20138;1485;76.8;75.7;5.6;26613
Sønderborg;57358;56579;4951;77.9;76.8;6.7;73646
Tønder;27915;27524;2001;75.8;74.7;5.4;36843
Esbjerg;88605;87284;7202;76.7;75.6;6.2;115487
Fanø;2807;2782;256;81.8;81.1;7.5;3432
Varde;38041;37564;2963;76.6;75.6;6.0;49658
Vejen;31940;31501;2520;74.8;73.8;5.9;42690
Aabenraa;43808;43216;3342;74.8;73.8;5.7;58597
Fredericia;39608;39091;3884;76.8;75.8;7.5;51543
Horsens;70219;69108;5647;74.6;73.4;6.0;94150
Kolding;70445;69276;5809;75.4;74.1;6.2;93462
Vejle;89592;88092;7392;75.6;74.3;6.2;118575
Herning;68711;67669;6157;77.0;75.8;6.9;89227
Holstebro;45450;44798;4127;77.6;76.5;7.0;58541
Lemvig;15521;15356;1231;80.1;79.2;6.4;19382
Struer;16583;16367;1439;79.8;78.8;6.9;20779
Syddjurs;34420;34031;2454;78.9;78.0;5.6;43636
Norddjurs;29256;28905;2512;79.1;78.1;6.8;36989
Favrskov;37712;37240;2708;77.3;76.3;5.6;48780
Odder;18563;18364;1856;79.8;78.9;8.0;23266
Randers;76400;75238;7219;77.3;76.1;7.3;98860
Silkeborg;74266;73258;5841;76.5;75.4;6.0;97112
Samsø;3071;3050;177;82.3;81.8;4.7;3730
Skanderborg;49060;48526;3411;76.5;75.6;5.3;64148
Århus;275184;270475;21585;77.4;76.1;6.1;355327
