"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;463839;456756;591906
Midtjylland;1037184;1022177;1340990
Syddanmark;947176;933665;1227586
Hovedstaden;1392836;1366709;1866984
Sjælland;646961;638045;842953
