Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     173 (52);     161 (48);     334
10-19;     325 (54);     276 (46);     601
20-29;   1.070 (62);     668 (38);   1.738
30-39;   1.084 (60);     708 (40);   1.792
40-49;   1.291 (60);     862 (40);   2.153
50-59;   1.337 (60);     899 (40);   2.236
60-69;     710 (50);     710 (50);   1.420
70-79;     475 (46);     567 (54);   1.042
80-89;     469 (57);     349 (43);     818
90+;     185 (72);      72 (28);     257
I alt;   7.119 (57);   5.272 (43);  12.391
