"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;459174;446622;77.6;75.5;591411
Midtjylland;1025437;995826;76.6;74.4;1338846
Syddanmark;936291;908921;76.4;74.1;1226153
Hovedstaden;1373285;1325829;73.8;71.2;1861736
Sjælland;639928;623582;76.0;74.0;842285
