"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16967;40
AstraZeneca Covid-19 vaccine;Midtjylland;33914;122
AstraZeneca Covid-19 vaccine;Syddanmark;30687;381
AstraZeneca Covid-19 vaccine;Hovedstaden;45963;710
AstraZeneca Covid-19 vaccine;Sjælland;23985;420
Janssen COVID-19 vaccine;Nordjylland;3651;3651
Janssen COVID-19 vaccine;Midtjylland;9886;9886
Janssen COVID-19 vaccine;Syddanmark;7547;7547
Janssen COVID-19 vaccine;Hovedstaden;22535;22535
Janssen COVID-19 vaccine;Sjælland;2796;2796
Moderna Covid-19 Vaccine;Nordjylland;69627;66716
Moderna Covid-19 Vaccine;Midtjylland;120367;113412
Moderna Covid-19 Vaccine;Syddanmark;129840;151667
Moderna Covid-19 Vaccine;Hovedstaden;145517;133436
Moderna Covid-19 Vaccine;Sjælland;81261;99996
Pfizer BioNTech Covid-19 vacc;Nordjylland;368929;376215
Pfizer BioNTech Covid-19 vacc;Midtjylland;861270;872406
Pfizer BioNTech Covid-19 vacc;Syddanmark;768217;749326
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1159270;1169148
Pfizer BioNTech Covid-19 vacc;Sjælland;531886;520370
