"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;463917;443425;72.4;69.2;641189
Frederiksberg;80137;77403;77.5;74.9;103410
Ballerup;35891;34865;73.1;71.0;49115
Brøndby;23639;22706;66.6;64.0;35487
Dragør;11167;10848;76.4;74.3;14608
Gentofte;56626;54989;76.2;74.0;74289
Gladsaxe;50468;48796;73.1;70.7;68995
Glostrup;16892;16322;71.8;69.3;23540
Herlev;20719;20034;71.9;69.6;28799
Albertslund;18564;17778;67.9;65.0;27342
Hvidovre;37843;36572;71.1;68.7;53209
Høje Tåstrup;35665;34378;67.8;65.3;52606
Lyngby-Taarbæk;44120;42904;76.9;74.8;57368
Rødovre;29162;28179;70.8;68.4;41199
Ishøj;14515;13839;63.0;60.1;23039
Tårnby;31248;30251;73.2;70.9;42664
Vallensbæk;11374;10996;68.9;66.6;16502
Furesø;30923;30164;74.9;73.0;41306
Allerød;20171;19732;77.9;76.2;25887
Fredensborg;30685;29871;74.7;72.7;41079
Helsingør;47968;46557;76.0;73.8;63114
Hillerød;39972;39039;76.1;74.4;52494
Hørsholm;19625;19164;79.2;77.3;24777
Rudersdal;44439;43239;77.5;75.5;57307
Egedal;33751;32905;76.4;74.5;44157
Frederikssund;35804;34939;78.2;76.3;45811
Greve;37107;36014;73.2;71.1;50664
Køge;46397;45158;75.2;73.2;61663
Halsnæs;24293;23745;77.1;75.4;31500
Roskilde;68748;66908;77.1;75.1;89116
Solrød;17663;17243;75.0;73.2;23566
Gribskov;31966;31192;77.5;75.6;41234
Odsherred;25986;25473;78.8;77.2;32986
Holbæk;55735;54206;76.7;74.6;72680
Faxe;27982;27346;75.5;73.8;37042
Kalundborg;36895;35942;76.2;74.2;48419
Ringsted;25736;25089;73.2;71.4;35142
Slagelse;59567;57887;74.8;72.7;79596
Stevns;17906;17544;76.9;75.3;23285
Sorø;23064;22539;76.9;75.1;29996
Lejre;21796;21287;76.2;74.4;28597
Lolland;30572;29848;76.0;74.2;40234
Næstved;63501;61921;75.9;74.1;83609
Guldborgsund;46335;45157;76.8;74.8;60355
Vordingborg;34938;34020;77.1;75.0;45335
Bornholm;31741;30997;79.9;78.1;39709
Middelfart;30957;30263;78.4;76.6;39486
Assens;32209;31327;78.8;76.7;40870
Faaborg-Midtfyn;40457;39482;78.1;76.2;51832
Kerteminde;18973;18483;79.1;77.0;23992
Nyborg;25322;24603;78.8;76.6;32119
Odense;157957;152418;76.8;74.1;205577
Svendborg;46133;44855;78.1;76.0;59055
Nordfyn;22826;22240;77.0;75.0;29647
Langeland;9942;9709;80.7;78.8;12322
Ærø;4999;4919;83.1;81.8;6013
Haderslev;41622;40497;75.3;73.3;55286
Billund;20252;19848;76.2;74.7;26566
Sønderborg;56819;55169;77.2;75.0;73598
Tønder;27684;26976;75.0;73.1;36924
Esbjerg;87717;85048;76.0;73.7;115474
Fanø;2770;2704;80.5;78.6;3440
Varde;37774;36901;76.1;74.3;49652
Vejen;31640;30903;74.1;72.4;42709
Aabenraa;43321;42068;74.1;71.9;58489
Fredericia;39106;38046;75.9;73.8;51549
Horsens;69251;66953;74.1;71.7;93415
Kolding;69477;67136;74.4;71.9;93337
Vejle;88334;85326;74.7;72.2;118216
Herning;67908;65966;76.2;74.0;89114
Holstebro;44943;43600;76.8;74.5;58533
Lemvig;15400;15028;79.4;77.5;19389
Struer;16422;15972;79.0;76.8;20789
Syddjurs;34146;33223;78.4;76.2;43573
Norddjurs;29082;28438;78.5;76.8;37044
Favrskov;37340;36463;76.7;74.9;48702
Odder;18338;17960;79.1;77.5;23179
Randers;75530;73339;76.5;74.3;98722
Silkeborg;73179;71054;75.7;73.5;96712
Samsø;3039;2987;81.9;80.5;3712
Skanderborg;48514;47341;75.8;74.0;63980
Århus;271933;262414;76.6;73.9;354996
Ikast-Brande;31135;30300;74.4;72.4;41865
Ringkøbing-Skjern;42950;41883;76.5;74.6;56154
Hedensted;36070;35267;76.6;74.9;47062
Morsø;15758;15405;78.6;76.8;20048
Skive;35619;34848;79.0;77.3;45095
Thisted;33483;32727;77.7;75.9;43112
Viborg;74638;72790;77.1;75.2;96810
Brønderslev;27753;26958;76.7;74.5;36204
Frederikshavn;46548;45582;79.0;77.4;58900
Vesthimmerland;27719;27124;76.3;74.7;36328
Læsø;1467;1434;81.8;79.9;1794
Rebild;23097;22539;75.4;73.6;30630
Mariagerfjord;32474;31718;78.2;76.4;41535
Jammerbugt;29471;28723;77.3;75.3;38127
Aalborg;171264;165640;77.5;75.0;220895
Hjørring;50140;48772;78.5;76.4;63838
