"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;463917;443425;641189
Frederiksberg;80137;77403;103410
Ballerup;35891;34865;49115
Brøndby;23639;22706;35487
Dragør;11167;10848;14608
Gentofte;56626;54989;74289
Gladsaxe;50468;48796;68995
Glostrup;16892;16322;23540
Herlev;20719;20034;28799
Albertslund;18564;17778;27342
Hvidovre;37843;36572;53209
Høje-Taastrup;35665;34378;52606
Lyngby-Taarbæk;44120;42904;57368
Rødovre;29162;28179;41199
Ishøj;14515;13839;23039
Tårnby;31248;30251;42664
Vallensbæk;11374;10996;16502
Furesø;30923;30164;41306
Allerød;20171;19732;25887
Fredensborg;30685;29871;41079
Helsingør;47968;46557;63114
Hillerød;39972;39039;52494
Hørsholm;19625;19164;24777
Rudersdal;44439;43239;57307
Egedal;33751;32905;44157
Frederikssund;35804;34939;45811
Greve;37107;36014;50664
Køge;46397;45158;61663
Frederiksværk-Hundested;24293;23745;31500
Roskilde;68748;66908;89116
Solrød;17663;17243;23566
Gribskov;31966;31192;41234
Odsherred;25986;25473;32986
Holbæk;55735;54206;72680
Faxe;27982;27346;37042
Kalundborg;36895;35942;48419
Ringsted;25736;25089;35142
Slagelse;59567;57887;79596
Stevns;17906;17544;23285
Sorø;23064;22539;29996
Lejre;21796;21287;28597
Lolland;30572;29848;40234
Næstved;63501;61921;83609
Guldborgsund;46335;45157;60355
Vordingborg;34938;34020;45335
Bornholm;31741;30997;39709
Middelfart;30957;30263;39486
Assens;32209;31327;40870
Faaborg-Midtfyn;40457;39482;51832
Kerteminde;18973;18483;23992
Nyborg;25322;24603;32119
Odense;157957;152418;205577
Svendborg;46133;44855;59055
Nordfyns;22826;22240;29647
Langeland;9942;9709;12322
Ærø;4999;4919;6013
Haderslev;41622;40497;55286
Billund;20252;19848;26566
Sønderborg;56819;55169;73598
Tønder;27684;26976;36924
Esbjerg;87717;85048;115474
Fanø;2770;2704;3440
Varde;37774;36901;49652
Vejen;31640;30903;42709
Aabenraa;43321;42068;58489
Fredericia;39106;38046;51549
Horsens;69251;66953;93415
Kolding;69477;67136;93337
Vejle;88334;85326;118216
Herning;67908;65966;89114
Holstebro;44943;43600;58533
Lemvig;15400;15028;19389
Struer;16422;15972;20789
Syddjurs;34146;33223;43573
Norddjurs;29082;28438;37044
Favrskov;37340;36463;48702
Odder;18338;17960;23179
Randers;75530;73339;98722
Silkeborg;73179;71054;96712
Samsø;3039;2987;3712
Skanderborg;48514;47341;63980
Århus;271933;262414;354996
Ikast-Brande;31135;30300;41865
Ringkøbing-Skjern;42950;41883;56154
Hedensted;36070;35267;47062
Morsø;15758;15405;20048
Skive;35619;34848;45095
Thisted;33483;32727;43112
Viborg;74638;72790;96810
Brønderslev-Dronninglund;27753;26958;36204
Frederikshavn;46548;45582;58900
Vesthimmerlands;27719;27124;36328
Læsø;1467;1434;1794
Rebild;23097;22539;30630
Mariagerfjord;32474;31718;41535
Jammerbugt;29471;28723;38127
Ålborg;171264;165640;220895
Hjørring;50140;48772;63838
