"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;459174;446622;591411
Midtjylland;1025437;995826;1338846
Syddanmark;936291;908921;1226153
Hovedstaden;1373285;1325829;1861736
Sjælland;639928;623582;842285
