"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;494155;468741;268041;83.5;79.2;45.3;591852
Midtjylland;1112295;1054427;602879;82.9;78.6;44.9;1342060
Syddanmark;1013432;962592;545813;82.5;78.4;44.4;1228460
Hovedstaden;1484235;1407950;789292;79.4;75.4;42.2;1868426
Sjælland;688169;656029;391421;81.6;77.8;46.4;843451
