"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90629;0.0;0.0
0-2;M;1;0;95584;0.0;0.0
3-5;K;6389;13;91038;7.0;0.0
3-5;M;7081;22;96347;7.3;0.0
6-11;K;76443;6225;179399;42.6;3.5
6-11;M;80779;6634;188547;42.8;3.5
12-15;K;105546;97544;132521;79.6;73.6
12-15;M;111364;102899;140105;79.5;73.4
16-19;K;120769;118040;134307;89.9;87.9
16-19;M;124341;120786;140423;88.5;86.0
20-39;K;617620;596709;732929;84.3;81.4
20-39;M;623316;601678;763159;81.7;78.8
40-64;K;883575;876000;946194;93.4;92.6
40-64;M;874237;865918;947695;92.2;91.4
65-79;K;456526;455208;470437;97.0;96.8
65-79;M;420872;419628;433249;97.1;96.9
80+;K;167989;167355;173403;96.9;96.5
80+;M;115430;115078;118283;97.6;97.3
